samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Novenko_c175	5	3	5	Alnus	Alnus	TRSH
Novenko_c175	127	15	127	Betula sect. Nanae	Betula nana-type	DWAR
Novenko_c175	126	97	126	Picea	Picea	TRSH
Novenko_c175	788	52	125	Pinus sylvestris	Pinus sylvestris-type	TRSH
Novenko_c175	1361	12	124	Pinus sibirica	Pinus cembra-type	TRSH
Novenko_c175	7	3	7	Artemisia	Artemisia	HERB
Novenko_c175	130	5	130	Ericaceae	Ericales (tetrad)	DWAR
Novenko_c175	144	2	144	Sphagnum	Sphagnum	BRYO
Novenko_c175	24	1	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Novenko_c175	560	10	321	Abies	Abies	TRSH
Novenko_c175	2257	36	128	Betula alba	Betula pubescens-type	TRSH
