samplename	original_varname	acc_varname	groupid	count	percentage
Novenko_c44	Alnus	Alnus	TRSH	22	3.9855072
Novenko_c44	Betula alba	Betula pubescens-type	TRSH	200	36.231884
Novenko_c44	Corylus	Corylus	TRSH	1	0.18115942
Novenko_c44	Picea	Picea	TRSH	5	0.9057971
Novenko_c44	Pinus sylvestris	Pinus sylvestris-type	TRSH	300	54.347826
Novenko_c44	Quercus	Quercus	TRSH	3	0.54347826
Novenko_c44	Rosaceae	Rosaceae	TRSH	1	0.18115942
Novenko_c44	Sorbus	Sorbus-type	TRSH	1	0.18115942
Novenko_c44	Apiaceae	Apiaceae	HERB	2	0.36231884
Novenko_c44	Artemisia	Artemisia	HERB	8	1.4492754
Novenko_c44	Asteraceae	Asteraceae	HERB	4	0.72463768
Novenko_c44	Cerealia	Cerealia-type	HERB	1	0.18115942
Novenko_c44	Cyperaceae	Cyperaceae	HERB	1	0.18115942
Novenko_c44	Lamiaceae	Lamiaceae	HERB	1	0.18115942
Novenko_c44	Poaceae	Poaceae	HERB	2	0.36231884
