	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Odgaard_a1	4	161	4	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1421	11.330049
1	Odgaard_a1	5	578	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1421	40.675581
2	Odgaard_a1	454	1	47	Castanea	Castanea sativa	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1421	0.070372977
3	Odgaard_a1	9	4	9	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1421	0.28149191
4	Odgaard_a1	725	9	363	Cupressaceae	Cupressaceae undiff.	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1421	0.63335679
5	Odgaard_a1	12	189	12	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1421	13.300493
6	Odgaard_a1	578	1	481	Frangula alnus	Frangula alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1421	0.070372977
7	Odgaard_a1	13	8	13	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1421	0.56298381
8	Odgaard_a1	18	50	18	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1421	3.5186488
9	Odgaard_a1	19	44	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1421	3.096411
10	Odgaard_a1	107	16	107	Populus	Populus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1421	1.1259676
11	Odgaard_a1	208	130	208	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1421	9.148487
12	Odgaard_a1	25	25	25	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1421	1.7593244
13	Odgaard_a1	493	1	423	Sambucus	Sambucus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1421	0.070372977
14	Odgaard_a1	132	3	132	Sorbus	Sorbus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1421	0.21111893
15	Odgaard_a1	31	7	31	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1421	0.49261084
16	Odgaard_a1	599	1	599	Anemone	Anemone nemorosa-type	HERB	Herbs	HERB	True	True	Herbs	5	1421	0.070372977
17	Odgaard_a1	2554	2	1116	Anthriscus sylvestris-type	Anthriscus sylvestris-type	HERB	Herbs	HERB	True	True	Herbs	5	1421	0.14074595
18	Odgaard_a1	37	12	37	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	1421	0.84447572
19	Odgaard_a1	3163	3	3163	Avena/Triticum	Avena/Triticum	HERB	Herbs	HERB	True	True	Herbs	5	1421	0.21111893
20	Odgaard_a1	42	5	42	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	1421	0.35186488
21	Odgaard_a1	129	7	50	Secale	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	1421	0.49261084
22	Odgaard_a1	52	3	52	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	1421	0.21111893
23	Odgaard_a1	73	2	73	Filipendula	Filipendula	HERB	Herbs	HERB	True	True	Herbs	5	1421	0.14074595
24	Odgaard_a1	960	2	274	Hordeum-type	Hordeum-type	HERB	Herbs	HERB	True	True	Herbs	5	1421	0.14074595
25	Odgaard_a1	1350	1	221	Cannabis-type	Humulus/Cannabis	HERB	Herbs	HERB	True	True	Herbs	5	1421	0.070372977
26	Odgaard_a1	87	1	87	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	1421	0.070372977
27	Odgaard_a1	106	107	106	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	1421	7.5299085
28	Odgaard_a1	1408	3	122	Rumex acetosella-type	Rumex acetosella	HERB	Herbs	HERB	True	True	Herbs	5	1421	0.21111893
29	Odgaard_a1	1240	1	154	Senecio-type	Senecio-type	HERB	Herbs	HERB	True	True	Herbs	5	1421	0.070372977
30	Odgaard_a1	137	1	137	Thalictrum	Thalictrum	HERB	Herbs	HERB	True	True	Herbs	5	1421	0.070372977
31	Odgaard_a1	1795	1	141	Trifolium repens-type	Trifolium repens-type	HERB	Herbs	HERB	True	True	Herbs	5	1421	0.070372977
32	Odgaard_a1	663	40	663	Urtica	Urtica	HERB	Herbs	HERB	True	True	Herbs	5	1421	2.8149191
33	Odgaard_a1	783	2	783	Dryopteris	Dryopteris-type	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	1421	0.14074595
34	Odgaard_a1	2293	1	1473	Caltha palustris	Caltha palustris	HELO	Helophytes	AQUA	False	True	Aquatics	7	1421	0.070372977
35	Odgaard_a1	1474	2	1311	Carex	Carex	HELO	Helophytes	AQUA	False	True	Aquatics	7	1421	0.14074595
