samplename	original_varname	acc_varname	groupid	count	percentage
Odgaard_a10	Alnus	Alnus	TRSH	178	15.27
Odgaard_a10	Betula	Betula	TRSH	139	11.92
Odgaard_a10	Calluna	Calluna vulgaris	DWAR	4	0.34
Odgaard_a10	Carpinus	Carpinus betulus	TRSH	7	0.6
Odgaard_a10	Castanea	Castanea sativa	TRSH	1	0.09
Odgaard_a10	Corylus	Corylus	TRSH	36	3.09
Odgaard_a10	Cupressaceae	Cupressaceae undiff.	TRSH	9	0.77
Odgaard_a10	Fagus	Fagus	TRSH	74	6.35
Odgaard_a10	Fraxinus	Fraxinus	TRSH	8	0.69
Odgaard_a10	Ilex	Ilex	TRSH	1	0.09
Odgaard_a10	Picea	Picea	TRSH	10	0.86
Odgaard_a10	Pinus	Pinus	TRSH	79	6.78
Odgaard_a10	Populus	Populus	TRSH	7	0.6
Odgaard_a10	Malus	Prunus-type	TRSH	1	0.09
Odgaard_a10	Prunus	Prunus-type	TRSH	1	0.09
Odgaard_a10	Quercus	Quercus	TRSH	93	7.98
Odgaard_a10	Rosaceae undiff.	Rosaceae	TRSH	1	0.09
Odgaard_a10	Rubus idaeus-type	Rubus	TRSH	1	0.09
Odgaard_a10	Salix	Salix	TRSH	11	0.94
Odgaard_a10	Sambucus	Sambucus	TRSH	11	0.94
Odgaard_a10	Sorbus	Sorbus-type	TRSH	1	0.09
Odgaard_a10	Tilia	Tilia	TRSH	2	0.17
Odgaard_a10	Tsuga	Tsuga	TRSH	1	0.09
Odgaard_a10	Ulmus	Ulmus/Zelkova	TRSH	68	5.83
Odgaard_a10	Hedera helix	Hedera	LIAN	1	0.09
Odgaard_a10	Lysimachia	Anagallis-type	HERB	1	0.09
Odgaard_a10	Anthriscus sylvestris-type	Anthriscus sylvestris-type	HERB	1	0.09
Odgaard_a10	Artemisia	Artemisia	HERB	8	0.69
Odgaard_a10	Avena/Triticum	Avena/Triticum-type	HERB	6	0.51
Odgaard_a10	Brassicaceae	Brassicaceae	HERB	1	0.09
Odgaard_a10	Centaurea cyanus	Centaurea cyanus-type	HERB	1	0.09
Odgaard_a10	Cerastium-type	Cerastium-type	HERB	1	0.09
Odgaard_a10	Secale	Cerealia-type	HERB	6	0.51
Odgaard_a10	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	7	0.6
Odgaard_a10	Cichorium intybus-type	Crepis-type	HERB	2	0.17
Odgaard_a10	Helianthemum	Helianthemum	HERB	1	0.09
Odgaard_a10	Hordeum-type	Hordeum-type	HERB	11	0.94
Odgaard_a10	Humulus-type	Humulus/Cannabis	HERB	8	0.69
Odgaard_a10	Lythrum salicaria	Lythrum salicaria-type	HERB	2	0.17
Odgaard_a10	Achillea-type	Matricaria-type	HERB	1	0.09
Odgaard_a10	Plantago lanceolata	Plantago lanceolata-type	HERB	4	0.34
Odgaard_a10	Poaceae	Poaceae	HERB	306	26.24
Odgaard_a10	Polygonum aviculare	Polygonum aviculare-type	HERB	2	0.17
Odgaard_a10	Fragaria	Potentilla-type	HERB	1	0.09
Odgaard_a10	Potentilla-type	Potentilla-type	HERB	1	0.09
Odgaard_a10	Ranunculus sceleratus-group	Ranunculus sceleratus-type	HERB	1	0.09
Odgaard_a10	Rheum	Rheum	HERB	1	0.09
Odgaard_a10	Rhinanthus-type undiff.	Rhinanthus-type	HERB	1	0.09
Odgaard_a10	Rumex acetosella-type	Rumex acetosella	HERB	8	0.69
Odgaard_a10	Trifolium repens-type	Trifolium repens-type	HERB	1	0.09
Odgaard_a10	Urtica	Urtica	HERB	21	1.8
Odgaard_a10	Veronica-type	Veronica-type	HERB	1	0.09
Odgaard_a10	Dryopteris	Dryopteris-type	VACR	7	0.6
Odgaard_a10	Equisetum	Equisetum	VACR	3	0.26
Odgaard_a10	Gymnocarpium	Gymnocarpium dryopteris	VACR	3	0.26
Odgaard_a10	Pteridium	Pteridium aquilinum	VACR	3	0.26
Odgaard_a10	Caltha palustris	Caltha palustris	AQUA	1	0.09
Odgaard_a10	Carex	Carex	AQUA	14	1.2
Odgaard_a10	Schoenus-type	Schoenus	AQUA	1	0.09
Odgaard_a10	Schoenoplectus-type	Scirpus-type	AQUA	3	0.26
Odgaard_a10	Sparganium-type	Sparganium-type	AQUA	18	1.54
