samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Odgaard_a3	943	2	3	Achillea-type	Matricaria-type	HERB
Odgaard_a3	5	237	5	Alnus	Alnus	TRSH
Odgaard_a3	2548	1	1106	Anthriscus sylvestris-type	Anthriscus sylvestris-type	HERB
Odgaard_a3	7	5	7	Artemisia	Artemisia	HERB
Odgaard_a3	3599	2	818	Avena/Triticum	Avena/Triticum-type	HERB
Odgaard_a3	12	303	12	Betula	Betula	TRSH
Odgaard_a3	13	6	13	Brassicaceae	Brassicaceae	HERB
Odgaard_a3	1340	1	205	Cannabis-type	Humulus/Cannabis	HERB
Odgaard_a3	3663	7	3663	Carex	Carex	AQUA
Odgaard_a3	24	3	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Odgaard_a3	2628	1	1242	Cichorium intybus-type	Crepis-type	HERB
Odgaard_a3	201	28	31	Corylus	Corylus	TRSH
Odgaard_a3	714	2	347	Cupressaceae	Cupressaceae undiff.	TRSH
Odgaard_a3	772	6	772	Dryopteris	Dryopteris-type	VACR
Odgaard_a3	739	2	739	Empetrum	Empetrum nigrum	DWAR
Odgaard_a3	192	131	42	Fagus	Fagus	TRSH
Odgaard_a3	190	5	190	Fraxinus	Fraxinus	TRSH
Odgaard_a3	4065	1	4064	Hydrocotyle vulgaris	Hydrocotyle	HERB
Odgaard_a3	54	1	54	Hypericum	Hypericum	HERB
Odgaard_a3	2571	1	2571	Lythrum salicaria	Lythrum salicaria-type	HERB
Odgaard_a3	473	2	473	Melampyrum	Melampyrum	HERB
Odgaard_a3	1261	1	1156	Mercurialis perennis	Mercurialis perennis-type	HERB
Odgaard_a3	465	2	465	Osmunda regalis	Osmunda regalis	VACR
Odgaard_a3	126	16	126	Picea	Picea	TRSH
Odgaard_a3	75	45	75	Pinus	Pinus	TRSH
Odgaard_a3	80	99	80	Poaceae	Poaceae	HERB
Odgaard_a3	2363	1	1138	Polygonum convolvulus	Fallopia	HERB
Odgaard_a3	81	4	81	Populus	Populus	TRSH
Odgaard_a3	626	1	512	Potentilla-type	Potentilla-type	HERB
Odgaard_a3	431	3	180	Pteridium	Pteridium aquilinum	VACR
Odgaard_a3	189	117	189	Quercus	Quercus	TRSH
Odgaard_a3	4442	2	87	Ranunculus acris-group	Ranunculus acris-type	HERB
Odgaard_a3	95	2	95	Rumex acetosa	Rumex acetosa-type	HERB
Odgaard_a3	1398	19	96	Rumex acetosella-type	Rumex acetosella	HERB
Odgaard_a3	99	3	99	Salix	Salix	TRSH
Odgaard_a3	4571	1	4571	Schoenus-type	Schoenus	AQUA
Odgaard_a3	104	17	22	Secale	Cerealia-type	HERB
Odgaard_a3	107	2	107	Sorbus	Sorbus-type	TRSH
Odgaard_a3	1086	7	176	Sparganium-type	Sparganium-type	AQUA
Odgaard_a3	187	2	187	Tilia	Tilia	TRSH
Odgaard_a3	154	12	154	Ulmus	Ulmus/Zelkova	TRSH
Odgaard_a3	16	1	16	Carpinus	Carpinus betulus	TRSH
Odgaard_a3	45	1	45	Filipendula	Filipendula	HERB
Odgaard_a3	60	2	60	Plantago lanceolata	Plantago lanceolata-type	HERB
Odgaard_a3	481	2	407	Sambucus	Sambucus	TRSH
Odgaard_a3	652	13	652	Urtica	Urtica	HERB
Odgaard_a3	949	13	258	Hordeum-type	Hordeum-type	HERB
Odgaard_a3	1786	5	116	Trifolium repens-type	Trifolium repens-type	HERB
Odgaard_a3	2568	1	205	Humulus-type	Humulus/Cannabis	HERB
Odgaard_a3	3645	26	3645	Calluna	Calluna vulgaris	DWAR
