samplename	original_varname	acc_varname	groupid	count	percentage
Ortu_a1	Abies	Abies	TRSH	6	1.1450382
Ortu_a1	Acer	Acer campestre-type	TRSH	1	0.19083969
Ortu_a1	Alnus glutinosa	Alnus glutinosa-type	TRSH	2	0.38167939
Ortu_a1	Betula	Betula	TRSH	2	0.38167939
Ortu_a1	Carpinus	Carpinus betulus	TRSH	1	0.19083969
Ortu_a1	Castanea	Castanea sativa	TRSH	2	0.38167939
Ortu_a1	Corylus	Corylus	TRSH	8	1.5267176
Ortu_a1	Ericaceae	Ericales (tetrad)	DWAR	2	0.38167939
Ortu_a1	Fagus	Fagus	TRSH	6	1.1450382
Ortu_a1	Juglans	Juglans	TRSH	2	0.38167939
Ortu_a1	Juniperus	Juniperus communis-type	TRSH	1	0.19083969
Ortu_a1	Larix	Larix/Pseudotsuga	TRSH	4	0.76335878
Ortu_a1	Olea	Olea europaea	TRSH	7	1.3358779
Ortu_a1	Picea	Picea	TRSH	7	1.3358779
Ortu_a1	Pinus	Pinus	TRSH	309	58.969466
Ortu_a1	Quercus ilex-type	Quercus ilex-type	TRSH	11	2.0992366
Ortu_a1	Quercus deciduous	Quercus robur-type	TRSH	8	1.5267176
Ortu_a1	Rhamnus	Rhamnus-type	TRSH	1	0.19083969
Ortu_a1	Rosaceae	Rosaceae	TRSH	1	0.19083969
Ortu_a1	Artemisia	Artemisia	HERB	5	0.95419847
Ortu_a1	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	6	1.1450382
Ortu_a1	Bupleurum	Bupleurum	HERB	1	0.19083969
Ortu_a1	Cyperaceae	Cyperaceae	HERB	41	7.8244275
Ortu_a1	Linaria	Linaria-type	HERB	1	0.19083969
Ortu_a1	Plantago	Plantago	HERB	2	0.38167939
Ortu_a1	Poaceae	Poaceae	HERB	62	11.832061
Ortu_a1	Ranunculaceae	Ranunculaceae	HERB	3	0.57251908
Ortu_a1	Rumex	Rumex/Oxyria	HERB	3	0.57251908
Ortu_a1	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	3	0.57251908
Ortu_a1	Urticaceae	Urticaceae	HERB	1	0.19083969
Ortu_a1	Charcoal	Charcoal	CHAR	15	
Ortu_a1	Unknown	Indeterminable: unknown	INUN	4	
Ortu_a1	Asplenium	Asplenium-type	VACR	1	0.19083969
Ortu_a1	Botrychium	Botrychium	VACR	1	0.19083969
Ortu_a1	Monolete fern spores	Monolete fern spores	VACR	1	0.19083969
Ortu_a1	Trilete spores	Trilete spore(s)	VACR	12	2.2900763
