	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Ortu_a7	572	3	151	Alnus viridis	Alnus viridis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1992	0.15060241
1	Ortu_a7	5	1	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1992	0.050200803
2	Ortu_a7	454	3	47	Castanea	Castanea sativa	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1992	0.15060241
3	Ortu_a7	9	1	9	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1992	0.050200803
4	Ortu_a7	11	4	11	Ericaceae	Ericales (tetrad)	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	1992	0.20080321
5	Ortu_a7	12	10	12	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1992	0.50200803
6	Ortu_a7	455	2	95	Olea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1992	0.10040161
7	Ortu_a7	18	1	18	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1992	0.050200803
8	Ortu_a7	19	86	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1992	4.3172691
9	Ortu_a7	1062	2	22	Quercus ilex-type	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1992	0.10040161
10	Ortu_a7	29	1	29	Tilia	Tilia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1992	0.050200803
11	Ortu_a7	36	1	36	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	1992	0.050200803
12	Ortu_a7	37	1	37	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	1992	0.050200803
13	Ortu_a7	772	1	180	Asteroideae	Asteraceae subf. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	1992	0.050200803
14	Ortu_a7	460	2	53	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	1992	0.10040161
15	Ortu_a7	52	1	52	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	1992	0.050200803
16	Ortu_a7	61	99	61	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	1992	4.9698795
17	Ortu_a7	99	4	99	Paronychia	Paronychia	HERB	Herbs	HERB	True	True	Herbs	5	1992	0.20080321
18	Ortu_a7	735	3	286	Plantago	Plantago	HERB	Herbs	HERB	True	True	Herbs	5	1992	0.15060241
19	Ortu_a7	106	104	106	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	1992	5.2208835
20	Ortu_a7	1376	1	524	Potentilla	Potentilla-type	HERB	Herbs	HERB	True	True	Herbs	5	1992	0.050200803
21	Ortu_a7	156	7	156	Ranunculaceae	Ranunculaceae	HERB	Herbs	HERB	True	True	Herbs	5	1992	0.35140562
22	Ortu_a7	119	1	119	Rubiaceae	Rubiaceae	HERB	Herbs	HERB	True	True	Herbs	5	1992	0.050200803
23	Ortu_a7	738	10	120	Rumex	Rumex/Oxyria	HERB	Herbs	HERB	True	True	Herbs	5	1992	0.50200803
24	Ortu_a7	820	3	820	Urticaceae	Urticaceae	HERB	Herbs	HERB	True	True	Herbs	5	1992	0.15060241
25	Ortu_a7	3198	1638	3198	Bryophyta	Bryophyta	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	1992	82.228916
26	Ortu_a7	166	2	166	Equisetum	Equisetum	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	1992	0.10040161
