	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Ortu_b3	1	1	1	Abies	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	771	0.12970169
1	Ortu_b3	572	17	151	Alnus viridis	Alnus viridis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	771	2.2049287
2	Ortu_b3	5	3	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	771	0.38910506
3	Ortu_b3	454	1	47	Castanea	Castanea sativa	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	771	0.12970169
4	Ortu_b3	9	10	9	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	771	1.2970169
5	Ortu_b3	11	2	11	Ericaceae	Ericales (tetrad)	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	771	0.25940337
6	Ortu_b3	13	1	13	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	771	0.12970169
7	Ortu_b3	15	2	15	Juglans	Juglans	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	771	0.25940337
8	Ortu_b3	16	17	16	Larix	Larix/Pseudotsuga	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	771	2.2049287
9	Ortu_b3	18	485	18	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	771	62.905318
10	Ortu_b3	19	202	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	771	26.199741
11	Ortu_b3	173	3	21	Quercus robur-type	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	771	0.38910506
12	Ortu_b3	36	2	36	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	771	0.25940337
13	Ortu_b3	37	2	37	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	771	0.25940337
14	Ortu_b3	772	1	180	Asteroideae	Asteraceae subf. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	771	0.12970169
15	Ortu_b3	460	1	53	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	771	0.12970169
16	Ortu_b3	42	3	42	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	771	0.38910506
17	Ortu_b3	52	2	52	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	771	0.25940337
18	Ortu_b3	510	2	510	Geranium	Geranium	HERB	Herbs	HERB	True	True	Herbs	5	771	0.25940337
19	Ortu_b3	80	2	80	Helianthemum	Helianthemum	HERB	Herbs	HERB	True	True	Herbs	5	771	0.25940337
20	Ortu_b3	106	6	106	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	771	0.77821012
21	Ortu_b3	156	2	156	Ranunculaceae	Ranunculaceae	HERB	Herbs	HERB	True	True	Herbs	5	771	0.25940337
22	Ortu_b3	738	1	120	Rumex	Rumex/Oxyria	HERB	Herbs	HERB	True	True	Herbs	5	771	0.12970169
23	Ortu_b3	754	1	651	Saxifraga oppositifolia	Saxifraga oppositifolia-type	HERB	Herbs	HERB	True	True	Herbs	5	771	0.12970169
24	Ortu_b3	3747	2	167	Monolete fern spores	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	771	0.25940337
