samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Ortu_c31	560	6	321	Abies	Abies	TRSH
Ortu_c31	5	6	5	Alnus	Alnus	TRSH
Ortu_c31	12	41	12	Betula	Betula	TRSH
Ortu_c31	441	11	19	Castanea	Castanea sativa	TRSH
Ortu_c31	576	1	340	Cedrus	Cedrus	TRSH
Ortu_c31	447	3	25	Cichorioideae	Asteraceae subf. Cichorioideae	HERB
Ortu_c31	201	10	31	Corylus	Corylus	TRSH
Ortu_c31	3868	1	3868	Cyperaceae	Cyperaceae	AQUA
Ortu_c31	3958	1	3958	Fabaceae	Fabaceae	INUN
Ortu_c31	192	38	42	Fagus	Fagus	TRSH
Ortu_c31	45	4	45	Filipendula	Filipendula	HERB
Ortu_c31	190	13	190	Fraxinus	Fraxinus	TRSH
Ortu_c31	54	3	54	Hypericum	Hypericum	HERB
Ortu_c31	227	1	227	Mercurialis	Mercurialis	HERB
Ortu_c31	4193	4	146	Monolete fern spores	Monolete fern spores	VACR
Ortu_c31	126	34	126	Picea	Picea	TRSH
Ortu_c31	75	56	75	Pinus	Pinus	TRSH
Ortu_c31	80	53	80	Poaceae	Poaceae	HERB
Ortu_c31	152	12	86	Quercus robur-type	Quercus robur-type	TRSH
Ortu_c31	135	10	135	Ranunculaceae	Ranunculaceae	HERB
Ortu_c31	92	6	92	Rosaceae	Rosaceae	TRSH
Ortu_c31	727	8	94	Rumex	Rumex/Oxyria	HERB
Ortu_c31	4547	6	592	Sanicula	Astrantia-type	HERB
Ortu_c31	103	1	103	Scrophularia	Scrophularia-type	HERB
Ortu_c31	187	4	187	Tilia	Tilia	TRSH
Ortu_c31	809	19	809	Urticaceae	Urticaceae	HERB
Ortu_c31	1044	1	1044	Xanthium	Xanthium	HERB
Ortu_c31	2	1	2	Acer	Acer campestre-type	TRSH
Ortu_c31	16	6	16	Carpinus	Carpinus betulus	TRSH
Ortu_c31	22	6	22	Cerealia	Cerealia-type	HERB
Ortu_c31	24	1	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Ortu_c31	442	1	68	Olea	Olea europaea	TRSH
