samplename	original_varname	acc_varname	groupid	count	percentage
Ortu_c40	Abies	Abies	TRSH	1	0.24
Ortu_c40	Acer	Acer campestre-type	TRSH	3	0.73
Ortu_c40	Alnus	Alnus	TRSH	13	3.16
Ortu_c40	Alnus viridis	Alnus viridis	TRSH	1	0.24
Ortu_c40	Betula	Betula	TRSH	31	7.54
Ortu_c40	Calluna	Calluna vulgaris	DWAR	1	0.24
Ortu_c40	Carpinus	Carpinus betulus	TRSH	24	5.84
Ortu_c40	Castanea	Castanea sativa	TRSH	70	17.03
Ortu_c40	Cedrus	Cedrus	TRSH	1	0.24
Ortu_c40	Corylus	Corylus	TRSH	17	4.14
Ortu_c40	Eucalyptus	Eucalyptus	TRSH	1	0.24
Ortu_c40	Fagus	Fagus	TRSH	5	1.22
Ortu_c40	Fraxinus	Fraxinus	TRSH	26	6.33
Ortu_c40	Genista	Genista-type	TRSH	1	0.24
Ortu_c40	Juglans	Juglans	TRSH	5	1.22
Ortu_c40	Juniperus	Juniperus communis-type	TRSH	1	0.24
Ortu_c40	Olea	Olea europaea	TRSH	1	0.24
Ortu_c40	Picea	Picea	TRSH	8	1.95
Ortu_c40	Pinus	Pinus	TRSH	34	8.27
Ortu_c40	Pinus cembra	Pinus cembra-type	TRSH	1	0.24
Ortu_c40	Populus	Populus	TRSH	1	0.24
Ortu_c40	Quercus ilex	Quercus ilex-type	TRSH	2	0.49
Ortu_c40	Quercus robur-type	Quercus robur-type	TRSH	60	14.6
Ortu_c40	Rosaceae	Rosaceae	TRSH	7	1.7
Ortu_c40	Tilia	Tilia	TRSH	7	1.7
Ortu_c40	Ulmus	Ulmus/Zelkova	TRSH	3	0.73
Ortu_c40	Cuscuta	Cuscuta	LIAN	11	2.68
Ortu_c40	Hedera	Hedera	LIAN	1	0.24
Ortu_c40	Apiaceae	Apiaceae	HERB	1	0.24
Ortu_c40	Artemisia	Artemisia	HERB	5	1.22
Ortu_c40	Brassicaceae	Brassicaceae	HERB	1	0.24
Ortu_c40	Cerealia	Cerealia-type	HERB	1	0.24
Ortu_c40	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.24
Ortu_c40	Liliaceae	Liliaceae-type	HERB	3	0.73
Ortu_c40	Plantago pro parte	Plantago	HERB	9	2.19
Ortu_c40	Poaceae	Poaceae	HERB	33	8.03
Ortu_c40	Ranunculaceae	Ranunculaceae	HERB	7	1.7
Ortu_c40	Rubiaceae	Rubiaceae	HERB	5	1.22
Ortu_c40	Sedum	Sedum-type	HERB	3	0.73
Ortu_c40	Urticaceae	Urticaceae	HERB	1	0.24
Ortu_c40	Valerianaceae	Valerianaceae	HERB	2	0.49
Ortu_c40	Polypodiales	Monolete fern spores	VACR	1	0.24
Ortu_c40	Monolete fern spores	Monolete fern spores	VACR	1	0.24
Ortu_c40	Fabaceae	Fabaceae	INUN	1	
Ortu_c40	Indeterminable: unknown	Indeterminable: unknown	INUN	7	
