samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Ortu_d20	5	2	5	Alnus	Alnus	TRSH
Ortu_d20	12	2	12	Betula	Betula	TRSH
Ortu_d20	3661	1	3661	Cardiaceae	Indeterminable: unknown	NOPO
Ortu_d20	18	2	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Ortu_d20	24	1	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Ortu_d20	447	1	25	Cichorioideae	Asteraceae subf. Cichorioideae	HERB
Ortu_d20	201	1	31	Corylus	Corylus	TRSH
Ortu_d20	1601	20	80	Gramineae	Poaceae	HERB
Ortu_d20	1048	1	479	Hippophae	Hippophae rhamnoides	TRSH
Ortu_d20	4078	1	177	Indeterminable: unknown	Indeterminable: unknown	INUN
Ortu_d20	57	2	57	Juglans	Juglans	TRSH
Ortu_d20	58	1	58	Juniperus	Juniperus communis-type	TRSH
Ortu_d20	126	1	126	Picea	Picea	TRSH
Ortu_d20	75	231	75	Pinus	Pinus	TRSH
Ortu_d20	724	18	270	Plantago	Plantago	HERB
Ortu_d20	152	9	86	Quercus robur-type	Quercus robur-type	TRSH
Ortu_d20	727	1	94	Rumex	Rumex/Oxyria	HERB
Ortu_d20	590	2	6	Umbelliferae	Apiaceae	HERB
Ortu_d20	22	3	22	Cerealia	Cerealia-type	HERB
Ortu_d20	135	7	135	Ranunculaceae	Ranunculaceae	HERB
