samplename	original_varname	acc_varname	groupid	count	percentage
Ortu_d6	Abies	Abies	TRSH	1	0.3
Ortu_d6	Alnus	Alnus	TRSH	2	0.6
Ortu_d6	Betula	Betula	TRSH	1	0.3
Ortu_d6	Corylus	Corylus	TRSH	1	0.3
Ortu_d6	Ericaceae B	Ericales (tetrad)	TRSH	1	0.3
Ortu_d6	Hippophae	Hippophae rhamnoides	TRSH	2	0.6
Ortu_d6	Juglans	Juglans	TRSH	1	0.3
Ortu_d6	Juniperus	Juniperus communis-type	TRSH	2	0.6
Ortu_d6	Picea	Picea	TRSH	3	0.9
Ortu_d6	Pinus	Pinus	TRSH	151	45.48
Ortu_d6	Quercus robur-type	Quercus robur-type	TRSH	29	8.73
Ortu_d6	Rosaceae	Rosaceae	TRSH	11	3.31
Ortu_d6	Cuscuta	Cuscuta	LIAN	1	0.3
Ortu_d6	Hedera	Hedera	LIAN	1	0.3
Ortu_d6	Umbelliferae	Apiaceae	HERB	12	3.61
Ortu_d6	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	6	1.81
Ortu_d6	Boraginaceae	Boraginaceae	HERB	6	1.81
Ortu_d6	Cruciferae	Brassicaceae	HERB	1	0.3
Ortu_d6	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	2	0.6
Ortu_d6	Centaurea	Centaurea	HERB	20	6.02
Ortu_d6	Cerealia	Cerealia-type	HERB	6	1.81
Ortu_d6	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.3
Ortu_d6	Cistus	Cistus	HERB	1	0.3
Ortu_d6	Helianthemum	Helianthemum	HERB	1	0.3
Ortu_d6	Leguminosae	Leguminosae	HERB	12	3.61
Ortu_d6	Anthemidae	Matricaria-type	HERB	1	0.3
Ortu_d6	Plantago	Plantago	HERB	21	6.33
Ortu_d6	Gramineae	Poaceae	HERB	31	9.34
Ortu_d6	Polygonum	Polygonum-type (tricolporate)	HERB	3	0.9
Ortu_d6	Rumex	Rumex/Oxyria	HERB	1	0.3
Ortu_d6	Cyperaceae	Cyperaceae	AQUA	1	0.3
Ortu_d6	Indeterminable: unknown	Indeterminable: unknown	INUN	3	
