samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Panajiotidis_a16	75	62	75	Pinus	Pinus	TRSH
Panajiotidis_a16	560	1	321	Abies	Abies	TRSH
Panajiotidis_a16	5	1	5	Alnus	Alnus	TRSH
Panajiotidis_a16	192	3	42	Fagus	Fagus	TRSH
Panajiotidis_a16	1729	9	85	Quercus coccifera type	Quercus ilex-type	TRSH
Panajiotidis_a16	44	1	44	Fraxinus ornus	Fraxinus ornus	TRSH
Panajiotidis_a16	51	5	51	Hedera helix	Hedera	TRSH
Panajiotidis_a16	57	1	57	Juglans	Juglans	TRSH
Panajiotidis_a16	68	13	68	Olea europaea	Olea europaea	TRSH
Panajiotidis_a16	441	1	19	Castanea	Castanea sativa	TRSH
Panajiotidis_a16	38	324	38	Erica	Erica	TRSH
Panajiotidis_a16	49	1	49	Genista	Genista-type	TRSH
Panajiotidis_a16	1738	4	1738	Liriodendron	Liriodendron tulipiferum	PREQ
Panajiotidis_a16	7	1	7	Artemisia	Artemisia	HERB
Panajiotidis_a16	109	1	109	Spergula	Spergularia-type	HERB
Panajiotidis_a16	134	4	134	Asteraceae	Asteraceae	HERB
Panajiotidis_a16	1742	1	267	Centaurea jacea	Centaurea	HERB
Panajiotidis_a16	22	11	22	Cerealia	Cerealia-type	HERB
Panajiotidis_a16	80	29	80	Poaceae	Poaceae	HERB
Panajiotidis_a16	116	1	116	Trifolium repens	Trifolium repens-type	HERB
Panajiotidis_a16	707	5	24	Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB
Panajiotidis_a16	773	5	773	Euphorbiaceae	Euphorbiaceae	HERB
Panajiotidis_a16	52	4	52	Helianthemum	Helianthemum	HERB
Panajiotidis_a16	725	40	262	Polygonum aviculare	Polygonum aviculare-type	HERB
Panajiotidis_a16	1075	2	60	Plantago lanceolata-type	Plantago lanceolata-type	HERB
Panajiotidis_a16	1356	4	1356	Teucrium	Teucrium	HERB
Panajiotidis_a16	717	2	177	Indeterminable	Indeterminable: unknown	INUN
Panajiotidis_a16	95	3	95	Rumex acetosa	Rumex acetosa-type	HERB
Panajiotidis_a16	1752	1	1752	Urtica urens	Urtica urens	HERB
Panajiotidis_a16	1753	3	228	Xanthium	Ambrosia/Xanthium	HERB
Panajiotidis_a16	1755	24	559	Lycpodium counted	Lycopodium (counted)	NOPO
Panajiotidis_a16	1756	19.6	1756	Sample quantity	Quantity of sample	NOPO
Panajiotidis_a16	1757	3	1295	Lycopodium tablets	Lycopodium tablets (number)	NOPO
Panajiotidis_a16	1758	12542	1293	Lycopodium spores/tablet	Lycopodium (spores/tablet)	NOPO
Panajiotidis_a16	78	2	78	Platanus	Platanus	TRSH
Panajiotidis_a16	187	2	187	Tilia	Tilia	TRSH
Panajiotidis_a16	1631	1	327	Arbutus	Arbutus	TRSH
Panajiotidis_a16	1728	3	203	Juniperus	Juniperus-type	TRSH
Panajiotidis_a16	1730	18	86	Quercus pubescens type	Quercus robur-type	TRSH
Panajiotidis_a16	1734	8	70	Ostrya carpinifolia/Carpinus orientalis	Ostrya/Carpinus orientalis	TRSH
Panajiotidis_a16	1746	40	25	Asteraceae subf. Cichorioideae	Asteraceae subf. Cichorioideae	HERB
Panajiotidis_a16	1747	1	10	Lotus	Astragalus-type	HERB
Panajiotidis_a16	92	4	92	Rosaceae	Rosaceae	TRSH
