samplename	original_varname	acc_varname	groupid	count	percentage	notes
Panajiotidis_a26	Abies	Abies	TRSH	1	0.10111223	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Panajiotidis_a26	Alnus	Alnus	TRSH	2	0.20222447	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Panajiotidis_a26	Arbutus	Arbutus	TRSH	3	0.3033367	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Carpinus betulus	Carpinus betulus	TRSH	6	0.60667341	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Cistus monspeliensis	Cistus monspeliensis-type	TRSH	27	2.7300303	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Cistus salvifolius	Cistus salvifolius	TRSH	12	1.2133468	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Erica	Erica	DWAR	119	12.032356	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Fagus	Fagus	TRSH	11	1.1122346	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Panajiotidis_a26	Genista	Genista-type	TRSH	2	0.20222447	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Panajiotidis_a26	Juniperus	Juniperus-type	TRSH	1	0.10111223	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Olea europaea	Olea europaea	TRSH	32	3.2355915	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Ostrya carpinifolia/Carpinus orientalis	Ostrya/Carpinus orientalis	TRSH	13	1.314459	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Phillyrea latifolia	Phillyrea	TRSH	19	1.9211325	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Pinus	Pinus	TRSH	162	16.380182	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Panajiotidis_a26	Pistacia	Pistacia	TRSH	42	4.2467139	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Quercus coccifera type	Quercus ilex-type	TRSH	72	7.2800809	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Quercus pubescens type	Quercus robur-type	TRSH	65	6.5722952	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Rhus coriaria	Rhus coriaria-type	TRSH	3	0.3033367	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Rosaceae	Rosaceae	TRSH	35	3.5389282	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
Panajiotidis_a26	Tilia	Tilia	TRSH	1	0.10111223	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Panajiotidis_a26	Ulmus	Ulmus/Zelkova	TRSH	1	0.10111223	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Panajiotidis_a26	Xanthium	Ambrosia/Xanthium	HERB	15	1.5166835	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Artemisia	Artemisia	HERB	2	0.20222447	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Panajiotidis_a26	Asteraceae	Asteraceae	HERB	38	3.8422649	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Panajiotidis_a26	Asteraceae subf. Cichorioideae	Asteraceae subf. Cichorioideae	HERB	19	1.9211325	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Panajiotidis_a26	Cerastium	Cerastium-type	HERB	3	0.3033367	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Cerealia	Cerealia-type	HERB	2	0.20222447	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	4	0.40444894	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Fabaceae	Fabaceae	HERB	4	0.40444894	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Panajiotidis_a26	Matricaria-type	Matricaria-type	HERB	43	4.3478261	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Plantago lanceolata-type	Plantago lanceolata-type	HERB	158	15.975733	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Poaceae	Poaceae	HERB	35	3.5389282	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Panajiotidis_a26	Polygonum aviculare	Polygonum aviculare-type	HERB	1	0.10111223	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Rumex acetosa	Rumex acetosa-type	HERB	28	2.8311426	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Scleranthus	Scleranthus	HERB	1	0.10111223	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Silene	Silene-type	HERB	7	0.70778564	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Panajiotidis_a26	Arcella	Arcella	RHIZ	1		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Glomus	Glomus	FUNG	9		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Lycpodium counted	Lycopodium (counted)	NOPO	50		GroupID taken from spreadsheet
Panajiotidis_a26	Lycopodium spores/tablet	Lycopodium (spores/tablet)	NOPO	12542		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Lycopodium tablets	Lycopodium tablets (number)	NOPO	2		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Panajiotidis_a26	Sample quantity	Quantity of sample	NOPO	19.6		GroupID taken from POLNET. Only one taxon matched that acc_varname.
