samplename	original_varname	acc_varname	groupid	count	percentage
Panova_Antipina_a2	Abies	Abies	TRSH	1	0.13
Panova_Antipina_a2	Alnus	Alnus	TRSH	3	0.4
Panova_Antipina_a2	Betula nana-type	Betula nana-type	DWAR	41	5.41
Panova_Antipina_a2	Betula alba-type	Betula pubescens-type	TRSH	145	19.13
Panova_Antipina_a2	Ericaceae	Ericales (tetrad)	DWAR	1	0.13
Panova_Antipina_a2	Larix	Larix/Pseudotsuga	TRSH	3	0.4
Panova_Antipina_a2	Picea	Picea	TRSH	13	1.72
Panova_Antipina_a2	Pinus sibirica	Pinus cembra-type	TRSH	27	3.56
Panova_Antipina_a2	Pinus sylvestris	Pinus sylvestris-type	TRSH	315	41.56
Panova_Antipina_a2	Ulmus	Ulmus/Zelkova	TRSH	1	0.13
Panova_Antipina_a2	Artemisia	Artemisia	HERB	2	0.26
Panova_Antipina_a2	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	3	0.4
Panova_Antipina_a2	Filipendula	Filipendula	HERB	23	3.03
Panova_Antipina_a2	Poaceae	Poaceae	HERB	5	0.66
Panova_Antipina_a2	Galium	Rubiaceae	HERB	4	0.53
Panova_Antipina_a2	Bryales	Bryophyte spores	BRYO	25	3.3
Panova_Antipina_a2	Equisetum	Equisetum	VACR	1	0.13
Panova_Antipina_a2	Sphagnum	Sphagnum	BRYO	145	19.13
Panova_Antipina_a2	Alisma	Alisma-type	AQUA	2	0.26
Panova_Antipina_a2	Varia	Indeterminable: unknown	INUN	2	
