samplename	original_varname	acc_varname	groupid	count	percentage
Panova_a2	Alnus	Alnus	TRSH	18	3.2432432
Panova_a2	Betula undifferentiated	Betula	TRSH	60	10.810811
Panova_a2	Betula nana-type	Betula nana-type	DWAR	26	4.6846847
Panova_a2	Betula tortuosa	Betula pubescens-type	TRSH	26	4.6846847
Panova_a2	Ericaceae	Ericales (tetrad)	DWAR	98	17.657658
Panova_a2	Larix	Larix/Pseudotsuga	TRSH	2	0.36036036
Panova_a2	Picea	Picea	TRSH	8	1.4414414
Panova_a2	Pinus sibirica	Pinus cembra-type	TRSH	18	3.2432432
Panova_a2	Pinus sylvestris	Pinus sylvestris-type	TRSH	40	7.2072072
Panova_a2	Rosaceae	Rosaceae	TRSH	2	0.36036036
Panova_a2	Salix	Salix	TRSH	2	0.36036036
Panova_a2	Artemisia	Artemisia	HERB	33	5.9459459
Panova_a2	Asteraceae	Asteraceae	HERB	2	0.36036036
Panova_a2	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	2	0.36036036
Panova_a2	Cyperaceae	Cyperaceae	HERB	84	15.135135
Panova_a2	Poaceae	Poaceae	HERB	3	0.54054054
Panova_a2	Ranunculus	Ranunculus-type	HERB	4	0.72072072
Panova_a2	Rubus chamaemorus	Rubus chamaemorus	HERB	27	4.8648649
Panova_a2	Polypodiaceae	Monolete fern spores	VACR	2	0.36036036
Panova_a2	Sphagnum	Sphagnum	BRYO	98	17.657658
