samplename	original_varname	acc_varname	groupid	count	percentage
Pardoe_a9	Alnus	Alnus	TRSH	75	14.910537
Pardoe_a9	Betula	Betula	TRSH	165	32.803181
Pardoe_a9	Corylus	Corylus	TRSH	3	0.59642147
Pardoe_a9	Empetrum	Empetrum nigrum	DWAR	4	0.79522863
Pardoe_a9	Juniperus	Juniperus communis-type	TRSH	2	0.39761431
Pardoe_a9	Picea	Picea	TRSH	4	0.79522863
Pardoe_a9	Pinus	Pinus	TRSH	140	27.833002
Pardoe_a9	Salix	Salix	TRSH	15	2.9821074
Pardoe_a9	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	4	0.79522863
Pardoe_a9	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.19880716
Pardoe_a9	Compositae subfam. Cichorioideae	Compositae subfam. Cichorioideae	HERB	1	0.19880716
Pardoe_a9	Cyperaceae	Cyperaceae	HERB	12	2.3856859
Pardoe_a9	Leguminosae	Leguminosae	HERB	2	0.39761431
Pardoe_a9	Linum	Linum	HERB	5	0.99403579
Pardoe_a9	Oxyria/Rumex	Oxyria/Rumex	HERB	15	2.9821074
Pardoe_a9	Plantago	Plantago	HERB	1	0.19880716
Pardoe_a9	Gramineae	Poaceae	HERB	34	6.7594433
Pardoe_a9	Ranunculaceae	Ranunculaceae	HERB	1	0.19880716
Pardoe_a9	Saxifraga oppositifolia	Saxifraga oppositifolia-type	HERB	7	1.3916501
Pardoe_a9	Equisetum	Equisetum	VACR	9	1.7892644
Pardoe_a9	Filicales	Monolete fern spores	VACR	3	0.59642147
