samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Pardoe_b17	5	17	5	Alnus	Alnus	TRSH
Pardoe_b17	12	97	12	Betula	Betula	TRSH
Pardoe_b17	18	5	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Pardoe_b17	3868	7	3868	Cyperaceae	Cyperaceae	AQUA
Pardoe_b17	1601	12	80	Gramineae	Poaceae	HERB
Pardoe_b17	745	32	241	Oxyria	Oxyria digyna	HERB
Pardoe_b17	126	16	126	Picea	Picea	TRSH
Pardoe_b17	75	240	75	Pinus	Pinus	TRSH
Pardoe_b17	491	1	491	Saxifraga	Saxifraga	HERB
Pardoe_b17	668	1	668	Selaginella	Selaginella	VACR
Pardoe_b17	99	109	99	Salix	Salix	TRSH
Pardoe_b17	727	5	94	Rumex	Rumex/Oxyria	HERB
