samplename	original_varname	acc_varname	groupid	count	percentage
Pardoe_c19	Alnus	Alnus	TRSH	30	3.64
Pardoe_c19	Betula	Betula	TRSH	228	27.64
Pardoe_c19	Corylus	Corylus	TRSH	2	0.24
Pardoe_c19	Empetrum	Empetrum nigrum	DWAR	8	0.97
Pardoe_c19	Juniperus-type	Juniperus-type	TRSH	1	0.12
Pardoe_c19	Picea	Picea	TRSH	40	4.85
Pardoe_c19	Pinus	Pinus	TRSH	430	52.12
Pardoe_c19	Salix	Salix	TRSH	8	0.97
Pardoe_c19	Vaccinium	Vaccinium	TRSH	1	0.12
Pardoe_c19	Asteraceae	Asteraceae	HERB	2	0.24
Pardoe_c19	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.12
Pardoe_c19	Cyperaceae	Cyperaceae	HERB	6	0.73
Pardoe_c19	Oxyria	Oxyria digyna	HERB	16	1.94
Pardoe_c19	Plantago	Plantago	HERB	2	0.24
Pardoe_c19	Poaceae	Poaceae	HERB	43	5.21
Pardoe_c19	Ranunuculaceae	Ranunculaceae	HERB	2	0.24
Pardoe_c19	Equisetum	Equisetum	VACR	3	0.36
Pardoe_c19	Selaginella	Selaginella	VACR	2	0.24
