samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Pardoe_c20	12	204	12	Betula	Betula	TRSH
Pardoe_c20	75	134	75	Pinus	Pinus	TRSH
Pardoe_c20	5	22	5	Alnus	Alnus	TRSH
Pardoe_c20	201	26	31	Corylus	Corylus	TRSH
Pardoe_c20	99	19	99	Salix	Salix	TRSH
Pardoe_c20	80	38	80	Poaceae	Poaceae	HERB
Pardoe_c20	33	3	33	Cyperaceae	Cyperaceae	HERB
Pardoe_c20	581	4	457	Calluna	Calluna vulgaris	TRSH
Pardoe_c20	739	21	739	Empetrum	Empetrum nigrum	DWAR
Pardoe_c20	134	2	134	Asteraceae	Asteraceae	HERB
Pardoe_c20	742	2	135	Ranunuculaceae	Ranunculaceae	HERB
Pardoe_c20	724	4	270	Plantago	Plantago	HERB
Pardoe_c20	743	3	640	Saxifraga oppositifolia	Saxifraga oppositifolia-type	HERB
Pardoe_c20	745	10	241	Oxyria	Oxyria digyna	HERB
Pardoe_c20	145	12	145	Equisetum	Equisetum	VACR
Pardoe_c20	755	1	755	Cornus	Cornus	TRSH
Pardoe_c20	126	8	126	Picea	Picea	TRSH
Pardoe_c20	540	2	540	Vaccinium	Vaccinium	TRSH
Pardoe_c20	738	1	203	Juniperus-type	Juniperus-type	TRSH
Pardoe_c20	744	2	744	Leguminosae	Leguminosae	HERB
