samplename	original_varname	acc_varname	groupid	count	percentage
Pidek_a13	Abies	Abies	TRSH	34	3.0141844
Pidek_a13	Alnus	Alnus	TRSH	35	3.1028369
Pidek_a13	Betula	Betula	TRSH	53	4.6985816
Pidek_a13	Carpinus	Carpinus betulus	TRSH	35	3.1028369
Pidek_a13	Corylus	Corylus	TRSH	3	0.26595745
Pidek_a13	Fagus	Fagus	TRSH	18	1.5957447
Pidek_a13	Picea	Picea	TRSH	4	0.35460993
Pidek_a13	Pinus	Pinus	TRSH	135	11.968085
Pidek_a13	Quercus	Quercus	TRSH	7	0.62056738
Pidek_a13	Vaccinium-type	Vaccinium-type	DWAR	1	0.088652482
Pidek_a13	Lysimachia	Anagallis-type	HERB	1	0.088652482
Pidek_a13	Artemisia	Artemisia	HERB	13	1.1524823
Pidek_a13	Compositae subf. Cichorioideae	Asteraceae subf. Cichorioideae	HERB	12	1.0638298
Pidek_a13	Brassicaceae	Brassicaceae	HERB	4	0.35460993
Pidek_a13	Caryophyllaceae undiff.	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	1	0.088652482
Pidek_a13	Secale	Cerealia-type	HERB	2	0.17730496
Pidek_a13	Cerealia undiff.	Cerealia-type	HERB	14	1.2411348
Pidek_a13	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	6	0.53191489
Pidek_a13	Fagopyrum	Fagopyrum	HERB	2	0.17730496
Pidek_a13	Anthemis-type	Matricaria-type	HERB	3	0.26595745
Pidek_a13	Plantago lanceolata	Plantago lanceolata-type	HERB	8	0.70921986
Pidek_a13	Poaceae	Poaceae	HERB	540	47.87234
Pidek_a13	Ranunculus	Ranunculus-type	HERB	1	0.088652482
Pidek_a13	Rumex undiff.	Rumex/Oxyria	HERB	190	16.843972
Pidek_a13	Scleranthus perennis	Scleranthus perennis	HERB	1	0.088652482
Pidek_a13	Solidago-type	Senecio-type	HERB	5	0.44326241
Pidek_a13	Cyperaceae	Cyperaceae	AQUA	3	0.26595745
