	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Pidek_a14	1	17	1	Abies	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	423	4.0189125
1	Pidek_a14	4	2	4	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	423	0.47281324
2	Pidek_a14	5	9	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	423	2.1276596
3	Pidek_a14	7	21	7	Carpinus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	423	4.964539
4	Pidek_a14	12	2	12	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	423	0.47281324
5	Pidek_a14	19	118	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	423	27.895981
6	Pidek_a14	208	5	208	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	423	1.1820331
7	Pidek_a14	625	1	598	Lysimachia	Anagallis-type	HERB	Herbs	HERB	True	True	Herbs	5	423	0.23640662
8	Pidek_a14	37	1	37	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	423	0.23640662
9	Pidek_a14	608	2	41	Aster-type	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	423	0.47281324
10	Pidek_a14	42	2	42	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	423	0.47281324
11	Pidek_a14	832	1	475	Centaurea cyanus	Centaurea cyanus-type	HERB	Herbs	HERB	True	True	Herbs	5	423	0.23640662
12	Pidek_a14	3017	10	50	Cerealia undifferentiated	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	423	2.3640662
13	Pidek_a14	129	2	50	Secale	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	423	0.47281324
14	Pidek_a14	52	1	52	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	423	0.23640662
15	Pidek_a14	3383	68	3383	Compositae subfam. Cichorioideae	Compositae subfam. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	423	16.07565
16	Pidek_a14	61	4	61	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	423	0.94562648
17	Pidek_a14	73	1	73	Filipendula	Filipendula	HERB	Herbs	HERB	True	True	Herbs	5	423	0.23640662
18	Pidek_a14	3548	2	3548	Galium-type	Galium-type	HERB	Herbs	HERB	True	True	Herbs	5	423	0.47281324
19	Pidek_a14	82	1	82	Hypericum	Hypericum	HERB	Herbs	HERB	True	True	Herbs	5	423	0.23640662
20	Pidek_a14	600	1	34	Anthemis-type	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	423	0.23640662
21	Pidek_a14	87	2	87	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	423	0.47281324
22	Pidek_a14	106	141	106	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	423	33.333333
23	Pidek_a14	637	1	524	Potentilla-type	Potentilla-type	HERB	Herbs	HERB	True	True	Herbs	5	423	0.23640662
24	Pidek_a14	4075	6	4075	Rumex undifferentiated	Rumex undifferentiated	HERB	Herbs	HERB	True	True	Herbs	5	423	1.4184397
25	Pidek_a14	1020	2	167	Filicales monolete	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	423	0.47281324
26	Pidek_a14	3631	2	197	Indeterminable: unknown	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	423	
27	Pidek_a14	165	2	165	Sphagnum	Sphagnum	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	423	
