samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Pidek_a17	560	1	321	Abies	Abies	TRSH
Pidek_a17	589	250	3	Anthemis-type	Matricaria-type	HERB
Pidek_a17	7	6	7	Artemisia	Artemisia	HERB
Pidek_a17	597	3	11	Aster-type	Aster-type	HERB
Pidek_a17	12	20	12	Betula	Betula	TRSH
Pidek_a17	13	18	13	Brassicaceae	Brassicaceae	HERB
Pidek_a17	16	10	16	Carpinus	Carpinus betulus	TRSH
Pidek_a17	946	1	18	Caryophyllaceae undiff.	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Pidek_a17	821	2	462	Centaurea cyanus	Centaurea cyanus-type	HERB
Pidek_a17	822	20	22	Cerealia undiff.	Cerealia-type	HERB
Pidek_a17	24	2	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Pidek_a17	1383	8	336	Cirsium/Carduus	Asteraceae subf. Carduoideae	HERB
Pidek_a17	3824	4	25	Compositae subf. Cichorioideae	Asteraceae subf. Cichorioideae	HERB
Pidek_a17	201	1	31	Corylus	Corylus	TRSH
Pidek_a17	192	2	42	Fagus	Fagus	TRSH
Pidek_a17	1010	1	146	Filicales monolete	Monolete fern spores	VACR
Pidek_a17	614	1	587	Lysimachia	Anagallis-type	HERB
Pidek_a17	75	84	75	Pinus	Pinus	TRSH
Pidek_a17	80	92	80	Poaceae	Poaceae	HERB
Pidek_a17	798	4	231	Polygonum persicaria	Persicaria maculosa-type	HERB
Pidek_a17	472	1	92	Rosaceae undiff.	Rosaceae	TRSH
Pidek_a17	94	40	94	Rumex undiff.	Rumex/Oxyria	HERB
Pidek_a17	1276	1	1276	Scleranthus perennis	Scleranthus perennis	HERB
Pidek_a17	104	12	22	Secale	Cerealia-type	HERB
Pidek_a17	2428	1	133	Solidago-type	Senecio-type	HERB
Pidek_a17	187	1	187	Tilia	Tilia	TRSH
Pidek_a17	811	5	423	Zea	Zea mays	HERB
Pidek_a17	5	5	5	Alnus	Alnus	TRSH
Pidek_a17	6	1	6	Apiaceae	Apiaceae	HERB
Pidek_a17	126	3	126	Picea	Picea	TRSH
Pidek_a17	1248	9	1248	Fagopyrum	Fagopyrum	HERB
Pidek_a17	1779	1	132	Silene-type	Silene-type	HERB
