samplename	original_varname	acc_varname	groupid	count	percentage	notes
Remazani_a21	Acer campestre type	Acer campestre-type	TRSH	2	0.13449899	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Alnus	Alnus	TRSH	575	38.66846	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Remazani_a21	Buxus	Buxus	TRSH	5	0.33624748	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Remazani_a21	Carpinus type	Carpinus betulus	TRSH	610	41.022192	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Celtis	Celtis	TRSH	1	0.067249496	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Remazani_a21	Diospyros	Diospyros	TRSH	3	0.20174849	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Ephedra fragilis type	Ephedra fragilis-type	TRSH	1	0.067249496	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Fagus	Fagus	TRSH	8	0.53799597	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Remazani_a21	Ficus carica	Ficus carica	TRSH	3	0.20174849	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Hedera helix type	Hedera	TRSH	1	0.067249496	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Remazani_a21	Ilex type	Ilex	TRSH	1	0.067249496	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Remazani_a21	Juglans regia type	Juglans regia	TRSH	4	0.26899798	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Juniperus type	Juniperus-type	TRSH	7	0.47074647	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Parrotia persica	Parrotia persica	TRSH	67	4.5057162	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Pinus	Pinus	TRSH	2	0.13449899	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Remazani_a21	Quercus	Quercus	TRSH	78	5.2454607	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Remazani_a21	Tilia	Tilia	TRSH	2	0.13449899	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Remazani_a21	Ulmus	Ulmus/Zelkova	TRSH	4	0.26899798	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Remazani_a21	Zelkova	Ulmus/Zelkova	TRSH	1	0.067249496	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Remazani_a21	Umbelliferae  undiff. type	Apiaceae	HERB	2	0.13449899	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Remazani_a21	Artemisia	Artemisia	HERB	31	2.0847344	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Remazani_a21	Chenopodiaceae and Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	30	2.0174849	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Euphorbia	Euphorbia	HERB	2	0.13449899	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Remazani_a21	Hordeum group	Hordeum-type	HERB	4	0.26899798	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Anthemis type	Matricaria-type	HERB	1	0.067249496	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Plantago undiff. type	Plantago	HERB	1	0.067249496	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Remazani_a21	Plantago lanceolata type	Plantago lanceolata-type	HERB	1	0.067249496	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Wild grass group	Poaceae	HERB	22	1.4794889	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Remazani_a21	Poaceae undiff. type	Poaceae	HERB	2	0.13449899	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Remazani_a21	Polygonum aviculare type	Polygonum aviculare-type	HERB	1	0.067249496	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Rumex acetosa type	Rumex acetosa-type	HERB	2	0.13449899	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Thalictrum flavum type	Thalictrum flavum-type	HERB	5	0.33624748	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Type x	Indeterminable: unknown	INUN	5		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Ideterminable grains	Indeterminable: unknown	INUN	361		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Indet. clumps	Indeterminable: unknown	INUN	1		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Type 503	Type 503	INUN	33		GroupID taken from spreadsheet
Remazani_a21	Arcella discoides C	Arcella discoides	RHIZ	3		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Monocolpate verrucate	Monolete fern spores	VACR	2	0.13449899	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Pteridium aquilinum	Pteridium aquilinum	VACR	4	0.26899798	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Pteris cretica R	Pteris cretica	BRYO	1	0.067249496	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Trilete spore, bacculate	Trilete spore(s)	VACR	1	0.067249496	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Remazani_a21	Type 44: Ustulina deusta	Ustulina deusta	FUNG	47		GroupID taken from POLNET. Only one taxon matched that acc_varname.
