samplename	original_varname	acc_varname	groupid	count	percentage
Remazani_a22	Acer campestre type	Acer campestre-type	TRSH	2	0.22
Remazani_a22	Alnus	Alnus	TRSH	149	16.04
Remazani_a22	Buxus	Buxus	TRSH	5	0.54
Remazani_a22	Carpinus type	Carpinus betulus	TRSH	242	26.05
Remazani_a22	Fagus	Fagus	TRSH	9	0.97
Remazani_a22	Fraxinus	Fraxinus	TRSH	1	0.11
Remazani_a22	Juglans regia type	Juglans regia	TRSH	1	0.11
Remazani_a22	Juniperus type	Juniperus-type	TRSH	1	0.11
Remazani_a22	Parrotia persica	Parrotia persica	TRSH	48	5.17
Remazani_a22	Pterocarya fraxinifolia type	Pterocarya	TRSH	2	0.22
Remazani_a22	Quercus	Quercus	TRSH	11	1.18
Remazani_a22	Rosaceae  undiff.  type	Rosaceae	TRSH	5	0.54
Remazani_a22	Tilia	Tilia	TRSH	1	0.11
Remazani_a22	Ulmus	Ulmus/Zelkova	TRSH	1	0.11
Remazani_a22	Artemisia	Artemisia	HERB	5	0.54
Remazani_a22	Aster type	Aster-type	HERB	5	0.54
Remazani_a22	Astragalus alpinus	Astragalus-type	HERB	1	0.11
Remazani_a22	Chenopodiaceae and Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	9	0.97
Remazani_a22	Cyperaceae	Cyperaceae	HERB	1	0.11
Remazani_a22	Fabaceae undiff. type	Fabaceae undiff.	HERB	2	0.22
Remazani_a22	Oxyria digyna	Oxyria digyna	HERB	3	0.32
Remazani_a22	Wild grass group	Poaceae	HERB	196	21.1
Remazani_a22	Wild grass group clumps of two	Poaceae	HERB	1	0.11
Remazani_a22	Poaceae undiff. type	Poaceae	HERB	1	0.11
Remazani_a22	Galium type	Rubiaceae	HERB	7	0.75
Remazani_a22	Rumex acetosa type	Rumex acetosa-type	HERB	27	2.91
Remazani_a22	Rumex acetosa group	Rumex acetosa-type	HERB	2	0.22
Remazani_a22	Rumex conglomeratus group	Rumex crispus-type	HERB	1	0.11
Remazani_a22	Sambucus ebulus	Sambucus ebulus	HERB	175	18.84
Remazani_a22	Sambucus ebulus clumps	Sambucus ebulus	HERB	1	0.11
Remazani_a22	Sambucus ebulus clumps of two	Sambucus ebulus	HERB	2	0.22
Remazani_a22	Vicia type	Vicia-type	HERB	2	0.22
Remazani_a22	Dryopteris filix-mas type	Dryopteris filix-mas-type	VACR	1	0.11
Remazani_a22	Monolete spore without perine	Monolete fern spores	VACR	3	0.32
Remazani_a22	Polystichum type	Polystichum-type	VACR	1	0.11
Remazani_a22	Pteris cretica R	Pteris cretica	VACR	5	0.54
Remazani_a22	Sparganium erectum type	Sparganium erectum	HELO	1	0.11
Remazani_a22	Ideterminable grains	Indeterminable: unknown	INUN	437	
Remazani_a22	Indet. clumps	Indeterminable: unknown	INUN	3	
Remazani_a22	Indet.	Indeterminable: unknown	INUN	4	
Remazani_a22	Type 503	Type 503	INUN	2	
Remazani_a22	Arcella C	Arcella	RHIZ	1	
Remazani_a22	Arcella discoides C	Arcella discoides	RHIZ	7	
Remazani_a22	Type 143: Asc. of Diporotheca	Diporotheca	FUNG	9	
Remazani_a22	Monodictys E	Monodictys	FUNG	1	
Remazani_a22	Type 89 : Tetraploa aristata	Tetraploa aristata	FUNG	122	
Remazani_a22	Type 44: Ustulina deusta	Ustulina deusta	FUNG	64	
