samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Roesch_a11	759	70	321	Abies alba	Abies	TRSH
Roesch_a11	2	5	2	Acer	Acer campestre-type	TRSH
Roesch_a11	7	1	7	Artemisia	Artemisia	HERB
Roesch_a11	12	267	12	Betula	Betula	TRSH
Roesch_a11	19	26	19	Castanea sativa	Castanea sativa	TRSH
Roesch_a11	457	5	457	Calluna vulgaris	Calluna vulgaris	TRSH
Roesch_a11	563	66	16	Carpinus betulus	Carpinus betulus	TRSH
Roesch_a11	1104	143	155	Alnus glutinosa T	Alnus glutinosa-type	TRSH
Roesch_a11	1111	3	1111	Avena T	Avena-type	HERB
Roesch_a11	1113	15	13	Brassicaeae	Brassicaceae	HERB
Roesch_a11	1125	108	1125	Charcoal	Charcoal	CHAR
Roesch_a11	24	3	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Roesch_a11	31	101	31	Corylus avellana	Corylus	TRSH
Roesch_a11	42	103	42	Fagus sylvatica	Fagus	TRSH
Roesch_a11	45	3	45	Filipendula	Filipendula	HERB
Roesch_a11	47	29	47	Fraxinus excelsior	Fraxinus excelsior-type	TRSH
Roesch_a11	219	1	219	Dryopteris dilatata	Dryopteris dilatata	VACR
Roesch_a11	1126	3	25	Cichoriaceae	Asteraceae subf. Cichorioideae	HERB
Roesch_a11	1130	49	33	Cyperaceae undiff	Cyperaceae	HERB
Roesch_a11	1132	2	35	Daucus carota	Daucus	HERB
Roesch_a11	1146	25	177	indiff	Indeterminable: unknown	INUN
Roesch_a11	60	19	60	Plantago lanceolata	Plantago lanceolata-type	HERB
Roesch_a11	199	1	78	Platanus orientalis	Platanus	TRSH
Roesch_a11	783	510	783	Picea abies	Picea abies-type	TRSH
Roesch_a11	961	1	175	Menyanthes trifoliata	Menyanthes trifoliata	AQUA
Roesch_a11	1144	1	205	Humulus/Cannabis	Humulus/Cannabis	HERB
Roesch_a11	1148	16	194	Juglans regia	Juglans regia	TRSH
Roesch_a11	1150	7	123	Larix  decidua T	Larix/Pseudotsuga	TRSH
Roesch_a11	1156	1	1156	Mercurialis perennis T	Mercurialis perennis-type	HERB
Roesch_a11	1158	1	376	Myriophyllum spicatum	Myriophyllum spicatum	AQUA
Roesch_a11	1160	1	1160	Oxalis acetosella	Oxalis acetosella	HERB
Roesch_a11	1167	1410	125	Pinus sylvestris T	Pinus sylvestris-type	TRSH
Roesch_a11	1170	255	80	Poaceae undiff	Poaceae	HERB
Roesch_a11	81	4	81	Populus	Populus	TRSH
Roesch_a11	94	15	94	Rumex undiff.	Rumex/Oxyria	HERB
Roesch_a11	99	16	99	Salix	Salix	TRSH
Roesch_a11	141	3	141	Rubus	Rubus	TRSH
Roesch_a11	189	165	189	Quercus	Quercus	TRSH
Roesch_a11	1083	1	632	Rosa	Rosa	TRSH
Roesch_a11	1173	8	146	Polypodiaceae undiff	Monolete fern spores	VACR
Roesch_a11	1176	5	512	Potentilla T	Potentilla-type	HERB
Roesch_a11	1177	1	82	Prunus T	Prunus-type	TRSH
Roesch_a11	1181	10	87	Ranunculus acris T	Ranunculus acris-type	HERB
Roesch_a11	1185	1	1084	Rumex aquaticus type	Rumex aquaticus-type	HERB
Roesch_a11	1187	8	100	Sambucus nigra/racemosa	Sambucus nigra	TRSH
Roesch_a11	1098	1	177	Varia	Indeterminable: unknown	INUN
Roesch_a11	111	1	111	Taxus baccata	Taxus baccata	TRSH
Roesch_a11	122	1	122	Vitis	Vitis	TRSH
Roesch_a11	154	4	154	Ulmus	Ulmus/Zelkova	TRSH
Roesch_a11	187	2	187	Tilia	Tilia	TRSH
Roesch_a11	256	2	256	Secale cereale	Secale cereale	HERB
Roesch_a11	812	1	423	Zea mays	Zea mays	HERB
Roesch_a11	1191	1	133	Senecio T	Senecio-type	HERB
Roesch_a11	1194	1	1194	Solanum dulcamara	Solanum dulcamara	HERB
Roesch_a11	1195	3	107	Sorbus T	Sorbus-type	TRSH
Roesch_a11	1199	6	1199	Triticum T	Triticum-type	HERB
Roesch_a11	1202	6	809	Urtica/Parietaria	Urticaceae	HERB
Roesch_a11	1133	1	182	Diphasium alpinum T	Lycopodium clavatum-type	VACR
Roesch_a11	1135	1	772	DryopterisT	Dryopteris-type	VACR
Roesch_a11	1137	1	11	Eupatorium cannabinum T	Aster-type	HERB
Roesch_a11	1139	2	649	Geum T	Geum-type	HERB
Roesch_a11	1143	3	258	Hordeum T	Hordeum-type	HERB
Roesch_a11	1204	58	942	Vaccinium T	Vaccinium-type	TRSH
Roesch_a11	1207	1	1207	Viburnum opulus	Viburnum opulus	TRSH
Roesch_a11	1211	1	1044	Xanthium spinosum T	Xanthium	HERB
Roesch_a11	472	5	92	Rosaceae undiff.	Rosaceae	TRSH
Roesch_a11	93	2	93	Rubiaceae	Rubiaceae	HERB
