samplename	original_varname	acc_varname	groupid	count	percentage
Roesch_a2	Abies alba	Abies	TRSH	105	3.0146425
Roesch_a2	Acer	Acer campestre-type	TRSH	5	0.14355441
Roesch_a2	Alnus glutinosa T	Alnus glutinosa-type	TRSH	105	3.0146425
Roesch_a2	Betula	Betula	TRSH	166	4.7660063
Roesch_a2	Calluna vulgaris	Calluna vulgaris	TRSH	3	0.086132644
Roesch_a2	Carpinus betulus	Carpinus betulus	TRSH	37	1.0623026
Roesch_a2	Castanea sativa	Castanea sativa	TRSH	16	0.4593741
Roesch_a2	Cornus sanguinea	Cornus sanguinea-type	TRSH	1	0.028710881
Roesch_a2	Corylus avellana	Corylus	TRSH	62	1.7800746
Roesch_a2	Fagus sylvatica	Fagus	TRSH	112	3.2156187
Roesch_a2	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	29	0.83261556
Roesch_a2	Hippophaë rhamnoides	Hippophae rhamnoides	TRSH	1	0.028710881
Roesch_a2	Juglans regia	Juglans regia	TRSH	8	0.22968705
Roesch_a2	Larix  decidua T	Larix/Pseudotsuga	TRSH	5	0.14355441
Roesch_a2	Picea abies	Picea abies-type	TRSH	739	21.217341
Roesch_a2	Pinus sylvestris T	Pinus sylvestris-type	TRSH	1600	45.93741
Roesch_a2	Platanus orientalis	Platanus	TRSH	4	0.11484353
Roesch_a2	Populus	Populus	TRSH	3	0.086132644
Roesch_a2	Prunus T	Prunus-type	TRSH	1	0.028710881
Roesch_a2	Quercus	Quercus	TRSH	108	3.1007752
Roesch_a2	Rosaceae undiff.	Rosaceae	TRSH	1	0.028710881
Roesch_a2	Rubus	Rubus	TRSH	3	0.086132644
Roesch_a2	Salix	Salix	TRSH	7	0.20097617
Roesch_a2	Sambucus nigra/racemosa	Sambucus nigra	TRSH	8	0.22968705
Roesch_a2	Taxus baccata	Taxus baccata	TRSH	3	0.086132644
Roesch_a2	Tilia	Tilia	TRSH	2	0.057421763
Roesch_a2	Ulmus	Ulmus/Zelkova	TRSH	4	0.11484353
Roesch_a2	Vaccinium T	Vaccinium-type	TRSH	9	0.25839793
Roesch_a2	Viburnum lantana	Viburnum lantana	TRSH	1	0.028710881
Roesch_a2	Viburnum opulus/tinus	Viburnum opulus/V. tinus	TRSH	1	0.028710881
Roesch_a2	Vitis	Vitis	TRSH	1	0.028710881
Roesch_a2	Apiaceae undiff.	Apiaceae	HERB	2	0.057421763
Roesch_a2	Artemisia	Artemisia	HERB	6	0.17226529
Roesch_a2	Cichoriaceae	Asteraceae subf. Cichorioideae	HERB	2	0.057421763
Roesch_a2	Brassicaeae	Brassicaceae	HERB	7	0.20097617
Roesch_a2	Carum carvi	Carum carvi	HERB	1	0.028710881
Roesch_a2	Centaurea jacea T	Centaurea nigra-type	HERB	1	0.028710881
Roesch_a2	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.028710881
Roesch_a2	Cyperaceae undiff	Cyperaceae	HERB	32	0.91874821
Roesch_a2	Daucus carota	Daucus	HERB	7	0.20097617
Roesch_a2	Fallopia	Fallopia	HERB	1	0.028710881
Roesch_a2	Filipendula	Filipendula	HERB	2	0.057421763
Roesch_a2	Hordeum T	Hordeum-type	HERB	2	0.057421763
Roesch_a2	Humulus/Cannabis	Humulus/Cannabis	HERB	1	0.028710881
Roesch_a2	Lysimachia vulgaris T	Lysimachia vulgaris-type	HERB	1	0.028710881
Roesch_a2	Oxalis acetosella	Oxalis acetosella	HERB	1	0.028710881
Roesch_a2	Peucedanum palustre T	Peucedanum-type	HERB	1	0.028710881
Roesch_a2	Pimpinella major T	Pimpinella major-type	HERB	1	0.028710881
Roesch_a2	Plantago lanceolata	Plantago lanceolata-type	HERB	23	0.66035027
Roesch_a2	Poaceae undiff	Poaceae	HERB	163	4.6798737
Roesch_a2	Potentilla T	Potentilla-type	HERB	1	0.028710881
Roesch_a2	Ranunculus acris T	Ranunculus acris-type	HERB	6	0.17226529
Roesch_a2	Rubiaceae	Rubiaceae	HERB	1	0.028710881
Roesch_a2	Rumex aquaticus type	Rumex aquaticus-type	HERB	1	0.028710881
Roesch_a2	Rumex undiff.	Rumex/Oxyria	HERB	11	0.3158197
Roesch_a2	Silene T	Silene-type	HERB	1	0.028710881
Roesch_a2	Triticum T	Triticum-type	HERB	2	0.057421763
Roesch_a2	Urtica/Parietaria	Urticaceae	HERB	11	0.3158197
Roesch_a2	Xanthium spinosum T	Xanthium	HERB	3	0.086132644
Roesch_a2	Zea mays	Zea mays	HERB	2	0.057421763
Roesch_a2	Polypodiaceae undiff	Monolete fern spores	VACR	7	0.20097617
Roesch_a2	Sphagnum	Sphagnum	BRYO	32	0.91874821
Roesch_a2	Menyanthes trifoliata	Menyanthes trifoliata	AQUA	1	0.028710881
Roesch_a2	Charcoal	Charcoal	CHAR	49	
Roesch_a2	indiff	Indeterminable: unknown	INUN	20	
Roesch_a2	Varia	Indeterminable: unknown	INUN	1	
