samplename	original_varname	acc_varname	groupid	count	percentage
Ryabogina_a198	Alnus	Alnus	TRSH	28	4.99
Ryabogina_a198	Alnaster	Alnus viridis	TRSH	4	0.71
Ryabogina_a198	Betula or Bet.s.Albae	Betula	TRSH	163	29.06
Ryabogina_a198	Bet._nana	Betula nana-type	DWAR	35	6.24
Ryabogina_a198	Ericaceae	Ericales (tetrad)	DWAR	10	1.78
Ryabogina_a198	Pin._sibirica	Pinus cembra-type	TRSH	10	1.78
Ryabogina_a198	Pin._sylv.	Pinus sylvestris-type	TRSH	23	4.1
Ryabogina_a198	Salix	Salix	TRSH	7	1.25
Ryabogina_a198	Apiaceae	Apiaceae	HERB	1	0.18
Ryabogina_a198	Artemisia	Artemisia	HERB	31	5.53
Ryabogina_a198	Asteraceae	Asteraceae	HERB	11	1.96
Ryabogina_a198	Brass-eae	Brassicaceae	HERB	3	0.53
Ryabogina_a198	Chen-eae	Chenopodiaceae/Amaranthaceae	HERB	8	1.43
Ryabogina_a198	Cyperaceae	Cyperaceae	HERB	5	0.89
Ryabogina_a198	Labiata	Lamiaceae	HERB	3	0.53
Ryabogina_a198	Poaceae	Poaceae	HERB	17	3.03
Ryabogina_a198	Polyginum	Polygonum-type (tricolporate)	HERB	1	0.18
Ryabogina_a198	Ran-eae	Ranunculaceae	HERB	3	0.53
Ryabogina_a198	Thalictrum	Thalictrum	HERB	3	0.53
Ryabogina_a198	Bryales	Bryophyte spores	BRYO	69	12.3
Ryabogina_a198	Lyc._clavaum	Lycopodium clavatum	VACR	4	0.71
Ryabogina_a198	Polyp-eae	Monolete fern spores	VACR	43	7.66
Ryabogina_a198	Filicales	Monolete fern spores	VACR	1	0.18
Ryabogina_a198	Sphagnum	Sphagnum	BRYO	78	13.9
Ryabogina_a198	Alisma	Alisma-type	AQUA	1	0.18
Ryabogina_a198	Sparg-eae	Sparganium-type	AQUA	3	0.53
Ryabogina_a198	Varia	Indeterminable: unknown	INUN	23	
Ryabogina_a198	Sp	Indeterminable: unknown	INUN	192	
