samplename	original_varname	acc_varname	groupid	count	percentage
Sadori_a3	Alnus	Alnus	TRSH	26	6.99
Sadori_a3	Betula	Betula	TRSH	11	2.96
Sadori_a3	Carpinus betulus	Carpinus betulus	TRSH	6	1.61
Sadori_a3	Castanea	Castanea sativa	TRSH	5	1.34
Sadori_a3	Corylus	Corylus	TRSH	59	15.86
Sadori_a3	Ericaceae	Ericales (tetrad)	DWAR	2	0.54
Sadori_a3	Fagus	Fagus	TRSH	1	0.27
Sadori_a3	Ostrya	Ostrya/Carpinus orientalis	TRSH	35	9.41
Sadori_a3	Picea	Picea	TRSH	107	28.76
Sadori_a3	Pinus	Pinus	TRSH	45	12.1
Sadori_a3	Quercus deciduous	Quercus robur-type	TRSH	3	0.81
Sadori_a3	Rosaceae	Rosaceae	TRSH	1	0.27
Sadori_a3	Sambucus	Sambucus	TRSH	2	0.54
Sadori_a3	Tilia	Tilia	TRSH	6	1.61
Sadori_a3	Vitis	Vitis	LIAN	3	0.81
Sadori_a3	Umbelliferae	Apiaceae	HERB	1	0.27
Sadori_a3	Artemisia	Artemisia	HERB	3	0.81
Sadori_a3	Asteroideae	Asteraceae subf. Asteroideae	HERB	6	1.61
Sadori_a3	Cruciferae	Brassicaceae	HERB	2	0.54
Sadori_a3	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.27
Sadori_a3	Filipendula	Filipendula	HERB	2	0.54
Sadori_a3	Helianthemum	Helianthemum	HERB	1	0.27
Sadori_a3	Cannabaceae	Humulus/Cannabis	HERB	3	0.81
Sadori_a3	Plantago	Plantago	HERB	1	0.27
Sadori_a3	Gramineae	Poaceae	HERB	16	4.3
Sadori_a3	Ranunculaceae	Ranunculaceae	HERB	4	1.08
Sadori_a3	Rubiaceae	Rubiaceae	HERB	3	0.81
Sadori_a3	Rumex	Rumex/Oxyria	HERB	2	0.54
Sadori_a3	Poterium	Sanguisorba minor-type	HERB	1	0.27
Sadori_a3	Fungal spores	Fungal spore	VACR	14	3.76
Sadori_a3	Cyperaceae	Cyperaceae	AQUA	1	0.27
Sadori_a3	Indeterminable: unknown	Indeterminable: unknown	INUN	14	
Sadori_a3	Lycopodium (added)	Lycopodium (added)	NOPO	54000	
Sadori_a3	Lycopodium (counted)	Lycopodium (counted)	NOPO	123	
