samplename	original_varname	acc_varname	groupid	count	percentage
Sadori_b2	Abies	Abies	TRSH	1	0.34129693
Sadori_b2	Alnus	Alnus	TRSH	27	9.2150171
Sadori_b2	Carpinus betulus	Carpinus betulus	TRSH	4	1.3651877
Sadori_b2	Castanea	Castanea sativa	TRSH	1	0.34129693
Sadori_b2	Cistus	Cistus	TRSH	1	0.34129693
Sadori_b2	Corylus	Corylus	TRSH	7	2.3890785
Sadori_b2	Ephedra fragilis-type	Ephedra fragilis-type	TRSH	1	0.34129693
Sadori_b2	Ericaceae	Ericales (tetrad)	DWAR	9	3.0716724
Sadori_b2	Fagus	Fagus	TRSH	6	2.0477816
Sadori_b2	Fraxinus	Fraxinus	TRSH	3	1.0238908
Sadori_b2	Olea	Olea europaea	TRSH	16	5.4607509
Sadori_b2	Ostrya/Carpinus orientalis	Ostrya/Carpinus orientalis	TRSH	10	3.4129693
Sadori_b2	Pinus	Pinus	TRSH	6	2.0477816
Sadori_b2	Pistacia	Pistacia	TRSH	2	0.68259386
Sadori_b2	Populus	Populus	TRSH	1	0.34129693
Sadori_b2	Quercus cerris-type	Quercus cerris-type	TRSH	2	0.68259386
Sadori_b2	Quercus evergreen	Quercus ilex-type	TRSH	13	4.4368601
Sadori_b2	Quercus deciduous	Quercus robur-type	TRSH	29	9.8976109
Sadori_b2	Salix	Salix	TRSH	3	1.0238908
Sadori_b2	Ulmus	Ulmus/Zelkova	TRSH	10	3.4129693
Sadori_b2	Vitis	Vitis	TRSH	1	0.34129693
Sadori_b2	Umbelliferae	Apiaceae	HERB	1	0.34129693
Sadori_b2	Artemisia	Artemisia	HERB	6	2.0477816
Sadori_b2	Asteroideae	Asteraceae subf. Asteroideae	HERB	9	3.0716724
Sadori_b2	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	11	3.7542662
Sadori_b2	Cruciferae	Brassicaceae	HERB	1	0.34129693
Sadori_b2	Campanulaceae	Campanulaceae	HERB	1	0.34129693
Sadori_b2	Cannabaceae	Cannabaceae	HERB	2	0.68259386
Sadori_b2	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	8	2.7303754
Sadori_b2	Cerealia-type	Cerealia-type	HERB	5	1.7064846
Sadori_b2	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	2	0.68259386
Sadori_b2	Cyperaceae	Cyperaceae	HERB	2	0.68259386
Sadori_b2	Leguminosae	Leguminosae	HERB	6	2.0477816
Sadori_b2	Plantago	Plantago	HERB	2	0.68259386
Sadori_b2	Gramineae	Poaceae	HERB	75	25.59727
Sadori_b2	Ranunculaceae	Ranunculaceae	HERB	3	1.0238908
Sadori_b2	Rumex	Rumex/Oxyria	HERB	1	0.34129693
Sadori_b2	Monolete fern spores	Monolete fern spores	VACR	2	0.68259386
Sadori_b2	Polypodium	Polypodium	VACR	1	0.34129693
Sadori_b2	Trilete spores	Trilete spore(s)	VACR	2	0.68259386
Sadori_b2	Alisma	Alisma	AQUA	1	0.34129693
Sadori_b2	Myriophyllum alterniflorum	Myriophyllum alterniflorum	AQUA	1	0.34129693
Sadori_b2	Pseudoschizaea	Pseudoschizaea	ALGA	1	0.34129693
Sadori_b2	Charcoal 50-125 _m	Charcoal 50-125 _m	CHAR	2	
Sadori_b2	Charcoal <50 -_m	Charcoal <50 -_m	CHAR	29	
Sadori_b2	Indeterminable: unknown	Indeterminable: unknown	INUN	37	
Sadori_b2	Botryococcaceae	Botryococcaceae	NOPO	3	
Sadori_b2	Lycopodium (added)	Lycopodium (added)	NOPO	27000	
Sadori_b2	Lycopodium (counted)	Lycopodium (counted)	NOPO	603	
