samplename	original_varname	acc_varname	groupid	count	percentage
Sadori_d8	Acer	Acer campestre-type	TRSH	4	0.65466448
Sadori_d8	Alnus	Alnus	TRSH	5	0.81833061
Sadori_d8	Carpinus betulus	Carpinus betulus	TRSH	18	2.9459902
Sadori_d8	Castanea	Castanea sativa	TRSH	5	0.81833061
Sadori_d8	Corylus	Corylus	TRSH	4	0.65466448
Sadori_d8	Ericaceae	Ericales (tetrad)	DWAR	7	1.1456628
Sadori_d8	Fagus	Fagus	TRSH	51	8.3469722
Sadori_d8	Fraxinus	Fraxinus	TRSH	20	3.2733224
Sadori_d8	Ilex	Ilex	TRSH	1	0.16366612
Sadori_d8	Juniperus	Juniperus communis-type	TRSH	17	2.7823241
Sadori_d8	Myrtaceae	Myrtaceae	TRSH	2	0.32733224
Sadori_d8	Olea	Olea europaea	TRSH	4	0.65466448
Sadori_d8	Ostrya	Ostrya/Carpinus orientalis	TRSH	89	14.566285
Sadori_d8	Pinus	Pinus	TRSH	17	2.7823241
Sadori_d8	Quercus ilex-type	Quercus ilex-type	TRSH	3	0.49099836
Sadori_d8	Quercus deciduous	Quercus robur-type	TRSH	40	6.5466448
Sadori_d8	Rhamnus	Rhamnus-type	TRSH	6	0.98199673
Sadori_d8	Rosaceae	Rosaceae	TRSH	2	0.32733224
Sadori_d8	Salix	Salix	TRSH	10	1.6366612
Sadori_d8	Sambucus	Sambucus	TRSH	6	0.98199673
Sadori_d8	Viburnum	Viburnum	TRSH	6	0.98199673
Sadori_d8	Umbelliferae	Apiaceae	HERB	3	0.49099836
Sadori_d8	Artemisia	Artemisia	HERB	17	2.7823241
Sadori_d8	Asteroideae	Asteraceae subf. Asteroideae	HERB	4	0.65466448
Sadori_d8	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	15	2.4549918
Sadori_d8	Cruciferae	Brassicaceae	HERB	65	10.638298
Sadori_d8	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	7	1.1456628
Sadori_d8	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	6	0.98199673
Sadori_d8	Euphorbia	Euphorbia	HERB	1	0.16366612
Sadori_d8	Leguminosae	Leguminosae	HERB	2	0.32733224
Sadori_d8	Liliaceae	Liliaceae-type	HERB	6	0.98199673
Sadori_d8	Oxalidaceae	Oxalis	HERB	5	0.81833061
Sadori_d8	Gramineae	Poaceae	HERB	133	21.767594
Sadori_d8	Ranunculaceae	Ranunculaceae	HERB	19	3.1096563
Sadori_d8	Rubiaceae	Rubiaceae	HERB	1	0.16366612
Sadori_d8	Rumex	Rumex/Oxyria	HERB	9	1.4729951
Sadori_d8	Sedum	Sedum-type	HERB	1	0.16366612
Sadori_d8	Lycopodium (added)	Lycopodium (added)	NOPO	54000	
Sadori_d8	Lycopodium (counted)	Lycopodium (counted)	NOPO	153	
