samplename	original_varname	acc_varname	groupid	count	percentage
Sadori_e11	Alnus	Alnus	TRSH	1	0.37
Sadori_e11	Fraxinus	Fraxinus	TRSH	14	5.13
Sadori_e11	Ostrya	Ostrya/Carpinus orientalis	TRSH	45	16.48
Sadori_e11	Pinus	Pinus	TRSH	3	1.1
Sadori_e11	Quercus evergreeen	Quercus ilex-type	TRSH	94	34.43
Sadori_e11	Quercus deciduous	Quercus robur-type	TRSH	42	15.38
Sadori_e11	Artemisia	Artemisia	HERB	1	0.37
Sadori_e11	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	3	1.1
Sadori_e11	Gramineae	Poaceae	HERB	1	0.37
Sadori_e11	Monolete fern spores	Monolete fern spores	VACR	69	25.27
Sadori_e11	Indeterminable: unknown	Indeterminable: unknown	INUN	3	
Sadori_e11	Lycopodium (added)	Lycopodium (added)	NOPO	54000	
Sadori_e11	Lycopodium (counted)	Lycopodium (counted)	NOPO	53	
