	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Sadori_h1	4	7	4	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	590	1.1864407
1	Sadori_h1	5	1	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	590	0.16949153
2	Sadori_h1	574	21	7	Carpinus betulus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	590	3.559322
3	Sadori_h1	454	18	47	Castanea	Castanea sativa	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	590	3.0508475
4	Sadori_h1	9	39	9	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	590	6.6101695
5	Sadori_h1	11	1	11	Ericaceae	Ericales (tetrad)	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	590	0.16949153
6	Sadori_h1	12	234	12	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	590	39.661017
7	Sadori_h1	13	20	13	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	590	3.3898305
8	Sadori_h1	85	7	85	Juniperus	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	590	1.1864407
9	Sadori_h1	455	7	95	Olea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	590	1.1864407
10	Sadori_h1	582	9	97	Ostrya	Ostrya/Carpinus orientalis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	590	1.5254237
11	Sadori_h1	19	13	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	590	2.2033898
12	Sadori_h1	1062	34	22	Quercus ilex-type	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	590	5.7627119
13	Sadori_h1	21	137	21	Quercus deciduous	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	590	23.220339
14	Sadori_h1	493	1	423	Sambucus	Sambucus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	590	0.16949153
15	Sadori_h1	146	2	146	Vitis	Vitis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	590	0.33898305
16	Sadori_h1	37	2	37	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	590	0.33898305
17	Sadori_h1	772	2	180	Asteroideae	Asteraceae subf. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	590	0.33898305
18	Sadori_h1	494	14	42	Cruciferae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	590	2.3728814
19	Sadori_h1	46	7	46	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	590	1.1864407
20	Sadori_h1	52	4	52	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	590	0.6779661
21	Sadori_h1	89	1	89	Liliaceae	Liliaceae-type	HERB	Herbs	HERB	True	True	Herbs	5	590	0.16949153
22	Sadori_h1	1611	5	106	Gramineae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	590	0.84745763
23	Sadori_h1	738	2	120	Rumex	Rumex/Oxyria	HERB	Herbs	HERB	True	True	Herbs	5	590	0.33898305
24	Sadori_h1	820	1	820	Urticaceae	Urticaceae	HERB	Herbs	HERB	True	True	Herbs	5	590	0.16949153
25	Sadori_h1	432	1	295	Trilete spores	Trilete spore(s)	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	590	0.16949153
26	Sadori_h1	703	54000	703	Lycopodium (added)	Lycopodium (added)	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	590	
27	Sadori_h1	571	85	571	Lycopodium (counted)	Lycopodium (counted)	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	590	
