samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Salonen_a3	5	49	5	Alnus	Alnus	TRSH
Salonen_a3	7	6	7	Artemisia	Artemisia	HERB
Salonen_a3	12	217	12	Betula	Betula	TRSH
Salonen_a3	33	3	33	Cyperaceae	Cyperaceae	HERB
Salonen_a3	145	1	145	Equisetum	Equisetum	VACR
Salonen_a3	1706	5	772	Dryopteris type	Dryopteris-type	VACR
Salonen_a3	45	1	45	Filipendula	Filipendula	HERB
Salonen_a3	1708	10	80	Graminae	Poaceae	HERB
Salonen_a3	75	158	75	Pinus	Pinus	TRSH
Salonen_a3	126	37	126	Picea	Picea	TRSH
Salonen_a3	965	1	183	Lycopodium annotinum	Lycopodium annotinum-type	VACR
Salonen_a3	99	6	99	Salix	Salix	TRSH
Salonen_a3	112	2	112	Thalictrum	Thalictrum	HERB
Salonen_a3	144	11	144	Sphagnum	Sphagnum	BRYO
Salonen_a3	1726	1	1203	Utricularia vulgaris	Utricularia	AQUA
Salonen_a3	24	3	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Salonen_a3	1712	1	123	Larix type	Larix/Pseudotsuga	TRSH
