samplename	original_varname	acc_varname	groupid	count	percentage
Schofield_a22	Betula glandulosa	Betula glandulosa	TRSH	6	0.98
Schofield_a22	Betula pubescens	Betula pubescens-type	TRSH	18	2.94
Schofield_a22	Juniperus communis	Juniperus communis-type	TRSH	1	0.16
Schofield_a22	Picea	Picea	TRSH	1	0.16
Schofield_a22	Salix	Salix	TRSH	38	6.2
Schofield_a22	Lactuceae	Asteraceae subf. Cichorioideae	HERB	1	0.16
Schofield_a22	Campanula gieseckiana	Campanula giesekiana	HERB	5	0.82
Schofield_a22	Cerastium-type	Cerastium-type	HERB	2	0.33
Schofield_a22	Cyperaceae	Cyperaceae	HERB	39	6.36
Schofield_a22	Poaceae	Poaceae	HERB	310	50.57
Schofield_a22	Potentilla-type	Potentilla-type	HERB	19	3.1
Schofield_a22	Ranunculus acris	Ranunculus acris-type	HERB	8	1.31
Schofield_a22	Rhinanthus-type	Rhinanthus-type	HERB	4	0.65
Schofield_a22	Rumex acetosa	Rumex acetosa-type	HERB	19	3.1
Schofield_a22	Thalictrum alpinum	Thalictrum alpinum-type	HERB	37	6.04
Schofield_a22	Botrychium	Botrychium	VACR	2	0.33
Schofield_a22	Equisitum	Equisetum	VACR	6	0.98
Schofield_a22	Huperzia selago	Huperzia selago	VACR	2	0.33
Schofield_a22	Lycopodium annotinum	Lycopodium annotinum-type	VACR	24	3.92
Schofield_a22	Pteropsida (monolete) indet.	Monolete fern spores	VACR	71	11.58
Schofield_a22	Menyanthes trifoliata	Menyanthes trifoliata	AQUA	3	0.49
Schofield_a22	Unknown	Indeterminable: unknown	INUN	1	
Schofield_a22	Damaged/indeterminable	Indeterminable: unknown	INUN	21	
