samplename	original_varname	acc_varname	groupid	count	percentage
Seppa_b104	Alnus	Alnus	TRSH	3	0.6
Seppa_b104	Betula	Betula	TRSH	107	21.4
Seppa_b104	Betula/Corylus/Myrica	Betula/Corylus/Myrica	TRSH	1	0.2
Seppa_b104	Empetrum nigrum	Empetrum nigrum	DWAR	2	0.4
Seppa_b104	Ericaceae-type	Ericaceae-type	DWAR	1	0.2
Seppa_b104	Juniperus communis	Juniperus communis-type	TRSH	3	0.6
Seppa_b104	Picea	Picea	TRSH	6	1.2
Seppa_b104	Pinus sylvestris	Pinus sylvestris-type	TRSH	364	72.8
Seppa_b104	Vaccinium-type	Vaccinium-type	DWAR	1	0.2
Seppa_b104	Artemisia	Artemisia	HERB	3	0.6
Seppa_b104	Gramineae undifferentiated	Gramineae undifferentiated	HERB	5	1
Seppa_b104	Potentilla-type	Potentilla-type	HERB	1	0.2
Seppa_b104	Rubiaceae	Rubiaceae	HERB	1	0.2
Seppa_b104	Rumex acetosa/R. acetosella-type	Rumex acetosa/R. acetosella-type	HERB	1	0.2
Seppa_b104	Urtica	Urtica	HERB	1	0.2
Seppa_b104	Carex-type	Carex-type	AQUA	10	2
Seppa_b104	Cyperaceae undifferentiated	Cyperaceae undifferentiated	AQUA	2	0.4
