samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Seppa_b106	5	6	5	Alnus	Alnus	TRSH
Seppa_b106	7	1	7	Artemisia	Artemisia	HERB
Seppa_b106	12	139	12	Betula	Betula	TRSH
Seppa_b106	3619	4	3619	Betula/Corylus/Myrica	Betula/Corylus/Myrica	TRSH
Seppa_b106	3665	29	3663	Carex-type	Carex	AQUA
Seppa_b106	24	2	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Seppa_b106	1247	2	772	Dryopteris-type	Dryopteris-type	VACR
Seppa_b106	939	4	739	Empetrum nigrum	Empetrum nigrum	DWAR
Seppa_b106	45	3	45	Filipendula	Filipendula	HERB
Seppa_b106	4018	15	80	Gramineae undiff.	Poaceae	HERB
Seppa_b106	2121	6	1320	Gymnocarpium dryopteris	Gymnocarpium dryopteris	VACR
Seppa_b106	964	1	184	Huperzia selago	Huperzia selago	VACR
Seppa_b106	965	6	183	Lycopodium annotinum	Lycopodium annotinum-type	VACR
Seppa_b106	1714	3	1549	Lycopodium clavatum	Lycopodium clavatum	VACR
Seppa_b106	4164	1	143	Lycopodium undiff.	Lycopodium	VACR
Seppa_b106	126	7	126	Picea	Picea	TRSH
Seppa_b106	788	293	125	Pinus sylvestris	Pinus sylvestris-type	TRSH
Seppa_b106	4506	1	95	Rumex acetosa/R. acetosella-type	Rumex acetosa-type	HERB
Seppa_b106	1398	1	96	Rumex acetosella-type	Rumex acetosella	HERB
Seppa_b106	1400	2	99	Salix undiff.	Salix	TRSH
Seppa_b106	874	7	185	Selaginella selaginoides	Selaginella selaginoides	VACR
Seppa_b106	941	31	58	Juniperus communis	Juniperus communis-type	TRSH
Seppa_b106	3658	1	13	Capsella-type	Brassicaceae	HERB
Seppa_b106	3944	9	130	Ericaceae-type	Ericales (tetrad)	DWAR
