	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Seppa_b158	4	53	4	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	9.0909091
1	Seppa_b158	5	114	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	19.554031
2	Seppa_b158	59	21	9	Corylus avellana	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	3.6020583
3	Seppa_b158	75	1	75	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	0.17152659
4	Seppa_b158	952	1	85	Juniperus communis	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	0.17152659
5	Seppa_b158	18	64	18	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	10.977702
6	Seppa_b158	799	236	148	Pinus sylvestris	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	40.480274
7	Seppa_b158	208	4	208	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	0.68610635
8	Seppa_b158	4088	3	4088	Salix undifferentiated	Salix undifferentiated	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	0.51457976
9	Seppa_b158	1416	2	174	Tilia cordata	Tilia cordata-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	0.34305317
10	Seppa_b158	37	1	37	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	583	0.17152659
11	Seppa_b158	52	1	52	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	583	0.17152659
12	Seppa_b158	1967	1	1967	Circaea	Circaea	HERB	Herbs	HERB	True	True	Herbs	5	583	0.17152659
13	Seppa_b158	73	8	73	Filipendula	Filipendula	HERB	Herbs	HERB	True	True	Herbs	5	583	1.3722127
14	Seppa_b158	3573	44	3573	Gramineae undifferentiated	Gramineae undifferentiated	HERB	Herbs	HERB	True	True	Herbs	5	583	7.5471698
15	Seppa_b158	1350	5	221	Cannabis-type	Humulus/Cannabis	HERB	Herbs	HERB	True	True	Herbs	5	583	0.85763293
16	Seppa_b158	1408	1	122	Rumex acetosella-type	Rumex acetosella	HERB	Herbs	HERB	True	True	Herbs	5	583	0.17152659
17	Seppa_b158	4263	6	4263	Umbelliferae undifferentiated	Umbelliferae undifferentiated	HERB	Herbs	HERB	True	True	Herbs	5	583	1.0291595
18	Seppa_b158	663	6	663	Urtica	Urtica	HERB	Herbs	HERB	True	True	Herbs	5	583	1.0291595
19	Seppa_b158	1257	1	783	Dryopteris-type	Dryopteris-type	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	583	0.17152659
20	Seppa_b158	2129	9	1330	Gymnocarpium dryopteris	Gymnocarpium dryopteris	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	583	1.5437393
21	Seppa_b158	1723	1	1559	Lycopodium clavatum	Lycopodium clavatum	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	583	0.17152659
22	Seppa_b158	3431	6	3431	Cyperaceae undifferentiated	Cyperaceae undifferentiated	AQUA	Aquatics	AQUA	False	True	Aquatics	7	583	1.0291595
