samplename	original_varname	acc_varname	groupid	count	percentage
Seppa_f1	Alnus	Alnus	TRSH	55	10.04
Seppa_f1	Betula	Betula	TRSH	124	22.63
Seppa_f1	Calluna	Calluna vulgaris	DWAR	2	0.36
Seppa_f1	Carpinus	Carpinus betulus	TRSH	1	0.18
Seppa_f1	Corylus	Corylus	TRSH	14	2.55
Seppa_f1	Frangula alnus	Frangula alnus	TRSH	1	0.18
Seppa_f1	Juniperus	Juniperus communis-type	TRSH	2	0.36
Seppa_f1	Picea	Picea	TRSH	46	8.39
Seppa_f1	Pinus	Pinus	TRSH	260	47.45
Seppa_f1	Quercus	Quercus	TRSH	5	0.91
Seppa_f1	Salix	Salix	TRSH	1	0.18
Seppa_f1	Tilia	Tilia	TRSH	1	0.18
Seppa_f1	Ulmus	Ulmus/Zelkova	TRSH	1	0.18
Seppa_f1	Vaccinium myrtillus	Vaccinium	DWAR	1	0.18
Seppa_f1	Artemisia	Artemisia	HERB	3	0.55
Seppa_f1	Aster-type	Aster-type	HERB	1	0.18
Seppa_f1	Cerealia-type	Cerealia-type	HERB	6	1.09
Seppa_f1	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.18
Seppa_f1	Chrysosplenium	Chrysosplenium	HERB	2	0.36
Seppa_f1	Filipendula	Filipendula	HERB	4	0.73
Seppa_f1	Humulus	Humulus lupulus	HERB	1	0.18
Seppa_f1	Lychnis flos-cuculi	Lychnis flos-cuculi	HERB	1	0.18
Seppa_f1	Anthemis-type	Matricaria-type	HERB	1	0.18
Seppa_f1	Plantago lanceolata	Plantago lanceolata-type	HERB	1	0.18
Seppa_f1	Poaceae	Poaceae	HERB	6	1.09
Seppa_f1	Urtica	Urtica	HERB	2	0.36
Seppa_f1	Cystopteris fragilis	Cystopteris fragilis	VACR	1	0.18
Seppa_f1	Polypodiaceae	Monolete fern spores	VACR	4	0.73
Seppa_f1	Carex	Carex	AQUA	1	0.18
