samplename	original_varname	acc_varname	groupid	count	percentage
Seppa_v15	Alnus	Alnus	TRSH	95	17.241379
Seppa_v15	Betula	Betula	TRSH	198	35.934664
Seppa_v15	Calluna vulgaris	Calluna vulgaris	TRSH	1	0.1814882
Seppa_v15	Carpinus betulus	Carpinus betulus	TRSH	3	0.54446461
Seppa_v15	Corylus avellana	Corylus	TRSH	4	0.72595281
Seppa_v15	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	1	0.1814882
Seppa_v15	Juniperus communis	Juniperus communis-type	TRSH	3	0.54446461
Seppa_v15	Picea	Picea	TRSH	21	3.8112523
Seppa_v15	Pinus sylvestris	Pinus sylvestris-type	TRSH	153	27.767695
Seppa_v15	Quercus	Quercus	TRSH	6	1.0889292
Seppa_v15	Salix undifferentiated	Salix undifferentiated	TRSH	2	0.36297641
Seppa_v15	Tilia cordata	Tilia cordata-type	TRSH	1	0.1814882
Seppa_v15	Ulmus	Ulmus/Zelkova	TRSH	5	0.90744102
Seppa_v15	Artemisia	Artemisia	HERB	7	1.2704174
Seppa_v15	Avena/Triticum-type	Avena/Triticum-type	HERB	2	0.36297641
Seppa_v15	Centaurea cyanus	Centaurea cyanus-type	HERB	1	0.1814882
Seppa_v15	Cerealia undifferentiated	Cerealia-type	HERB	4	0.72595281
Seppa_v15	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	4	0.72595281
Seppa_v15	Filipendula	Filipendula	HERB	1	0.1814882
Seppa_v15	Gramineae undifferentiated	Gramineae undifferentiated	HERB	20	3.6297641
Seppa_v15	Humulus lupulus	Humulus lupulus	HERB	2	0.36297641
Seppa_v15	Plantago undifferentiated	Plantago	HERB	1	0.1814882
Seppa_v15	Plantago lanceolata	Plantago lanceolata-type	HERB	1	0.1814882
Seppa_v15	Rumex acetosa	Rumex acetosa-type	HERB	1	0.1814882
Seppa_v15	Rumex acetosa/R. acetosella-type	Rumex acetosa/R. acetosella-type	HERB	2	0.36297641
Seppa_v15	Sinapis-type	Sinapis-type	HERB	1	0.1814882
Seppa_v15	Urtica	Urtica	HERB	1	0.1814882
Seppa_v15	Dryopteris-type	Dryopteris-type	VACR	4	0.72595281
Seppa_v15	Gymnocarpium dryopteris	Gymnocarpium dryopteris	VACR	2	0.36297641
Seppa_v15	Lycopodium annotinum	Lycopodium annotinum-type	VACR	3	0.54446461
Seppa_v15	Pteridium aquilinum	Pteridium aquilinum	VACR	1	0.1814882
Seppa_v15	Carex-type	Carex-type	AQUA	1	0.1814882
Seppa_v15	Sphagnum	Sphagnum	NOPO	8	
