samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Seppa_v24	5	70	5	Alnus	Alnus	TRSH
Seppa_v24	7	2	7	Artemisia	Artemisia	HERB
Seppa_v24	12	209	12	Betula	Betula	TRSH
Seppa_v24	3665	2	3663	Carex-type	Carex	AQUA
Seppa_v24	31	10	31	Corylus avellana	Corylus	TRSH
Seppa_v24	1247	9	772	Dryopteris-type	Dryopteris-type	VACR
Seppa_v24	145	3	145	Equisetum	Equisetum	VACR
Seppa_v24	4018	22	80	Gramineae undiff.	Poaceae	HERB
Seppa_v24	2121	1	1320	Gymnocarpium dryopteris	Gymnocarpium dryopteris	VACR
Seppa_v24	941	4	58	Juniperus communis	Juniperus communis-type	TRSH
Seppa_v24	126	42	126	Picea	Picea	TRSH
Seppa_v24	189	7	189	Quercus	Quercus	TRSH
Seppa_v24	95	1	95	Rumex acetosa	Rumex acetosa-type	HERB
Seppa_v24	1400	5	99	Salix undiff.	Salix	TRSH
Seppa_v24	2428	1	133	Solidago-type	Senecio-type	HERB
Seppa_v24	144	106	144	Sphagnum	Sphagnum	BRYO
Seppa_v24	154	7	154	Ulmus	Ulmus/Zelkova	TRSH
Seppa_v24	4730	1	4730	Vaccinium-type	Vaccinium-type	DWAR
Seppa_v24	788	147	125	Pinus sylvestris	Pinus sylvestris-type	TRSH
Seppa_v24	1406	5	153	Tilia cordata	Tilia cordata-type	TRSH
