	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Severova_a5	4	6	4	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	591	1.0152284
1	Severova_a5	5	246	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	591	41.624365
2	Severova_a5	11	11	11	Ericaceae	Ericales (tetrad)	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	591	1.8612521
3	Severova_a5	18	29	18	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	591	4.9069374
4	Severova_a5	19	266	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	591	45.00846
5	Severova_a5	208	2	208	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	591	0.33840948
6	Severova_a5	25	3	25	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	591	0.50761421
7	Severova_a5	597	6	597	Ambrosia	Ambrosia	HERB	Herbs	HERB	True	True	Herbs	5	591	1.0152284
8	Severova_a5	37	7	37	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	591	1.1844332
9	Severova_a5	155	2	155	Asteraceae	Asteraceae	HERB	Herbs	HERB	True	True	Herbs	5	591	0.33840948
10	Severova_a5	52	2	52	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	591	0.33840948
11	Severova_a5	735	2	286	Plantago	Plantago	HERB	Herbs	HERB	True	True	Herbs	5	591	0.33840948
12	Severova_a5	106	3	106	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	591	0.50761421
13	Severova_a5	119	1	119	Rubiaceae	Rubiaceae	HERB	Herbs	HERB	True	True	Herbs	5	591	0.16920474
14	Severova_a5	663	2	663	Urtica	Urtica	HERB	Herbs	HERB	True	True	Herbs	5	591	0.33840948
15	Severova_a5	164	1	164	Lycopodium	Lycopodium	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	591	0.16920474
16	Severova_a5	167	2	167	Polypodiaceae	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	591	0.33840948
17	Severova_a5	165	26	165	Sphagnum	Sphagnum	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	591	
