samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Shaw_a1	12	10	12	Betula	Betula	TRSH
Shaw_a1	1112	2	1112	Blechnum spicant	Blechnum spicant	VACR
Shaw_a1	3646	42	3645	Calluna vulgaris	Calluna vulgaris	DWAR
Shaw_a1	3781	16	3781	Charcoal 3-10 _m	Charcoal 3-10µm	CHAR
Shaw_a1	2794	1	2600	Erica tetralix	Erica tetralix-type	DWAR
Shaw_a1	716	2	130	Ericaceae undiff.	Ericales (tetrad)	DWAR
Shaw_a1	45	1	45	Filipendula	Filipendula	HERB
Shaw_a1	4078	3	177	Indeterminable: unknown	Indeterminable: unknown	INUN
Shaw_a1	559	290	559	Lycopodium (counted)	Lycopodium (counted)	NOPO
Shaw_a1	788	324	125	Pinus sylvestris	Pinus sylvestris-type	TRSH
Shaw_a1	4310	26	4310	Pinus: stomata	Pinus: stomata	MACR
Shaw_a1	60	1	60	Plantago lanceolata	Plantago lanceolata-type	HERB
Shaw_a1	80	182	80	Poaceae	Poaceae	HERB
Shaw_a1	626	6	512	Potentilla-type	Potentilla-type	HERB
Shaw_a1	180	1	180	Pteridium aquilinum	Pteridium aquilinum	VACR
Shaw_a1	4542	1	883	Sample volume (ml)	Sample volume (ml)	NOPO
Shaw_a1	144	11	144	Sphagnum	Sphagnum	BRYO
Shaw_a1	4624	2	2382	Spheroidal Carbonaceous Particles	Spheroidal carbonaceous particle	NOPO
Shaw_a1	4625	12540	4625	Spike (grains/tablet)	Spike (grains/tablet)	NOPO
Shaw_a1	4627	2	4627	Spike tablets (number)	Spike tablets (number)	NOPO
Shaw_a1	2771	9	2771	Stomata undiff.	Stomata	VEMI
Shaw_a1	630	1	87	Ranunculus acris-type	Ranunculus acris-type	HERB
