samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Shaw_b1	760	1	155	Alnus glutinosa	Alnus glutinosa-type	TRSH
Shaw_b1	12	29	12	Betula	Betula	TRSH
Shaw_b1	3646	47	3645	Calluna vulgaris	Calluna vulgaris	DWAR
Shaw_b1	3779	1	2407	Charcoal 10-20 _m	Charcoal 10-20µm	CHAR
Shaw_b1	3781	9	3781	Charcoal 3-10 _m	Charcoal 3-10µm	CHAR
Shaw_b1	939	1	739	Empetrum nigrum	Empetrum nigrum	DWAR
Shaw_b1	3941	2	3927	Erica undiff.	Erica	DWAR
Shaw_b1	716	10	130	Ericaceae undiff.	Ericales (tetrad)	DWAR
Shaw_b1	4078	7	177	Indeterminable: unknown	Indeterminable: unknown	INUN
Shaw_b1	559	152	559	Lycopodium (counted)	Lycopodium (counted)	NOPO
Shaw_b1	788	404	125	Pinus sylvestris	Pinus sylvestris-type	TRSH
Shaw_b1	4310	32	4310	Pinus: stomata	Pinus: stomata	MACR
Shaw_b1	80	48	80	Poaceae	Poaceae	HERB
Shaw_b1	626	7	512	Potentilla-type	Potentilla-type	HERB
Shaw_b1	630	1	87	Ranunculus acris-type	Ranunculus acris-type	HERB
Shaw_b1	4542	1	883	Sample volume (ml)	Sample volume (ml)	NOPO
Shaw_b1	144	11	144	Sphagnum	Sphagnum	BRYO
Shaw_b1	4624	1	2382	Spheroidal Carbonaceous Particles	Spheroidal carbonaceous particle	NOPO
Shaw_b1	4625	12540	4625	Spike (grains/tablet)	Spike (grains/tablet)	NOPO
Shaw_b1	4627	2	4627	Spike tablets (number)	Spike tablets (number)	NOPO
Shaw_b1	2771	1	2771	Stomata undiff.	Stomata	VEMI
Shaw_b1	969	1	177	Unknown	Indeterminable: unknown	INUN
Shaw_b1	4729	4	4725	Vaccinium undiff.	Vaccinium	DWAR
Shaw_b1	3847	1	3847	Coryloid	Corylus/Myrica	TRSH
Shaw_b1	3868	11	3868	Cyperaceae	Cyperaceae	AQUA
