samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Stivrins_a3	5	137	5	Alnus	Alnus	TRSH
Stivrins_a3	6	2	6	Apiaceae	Apiaceae	HERB
Stivrins_a3	7	11	7	Artemisia	Artemisia	HERB
Stivrins_a3	11	1	11	Aster type	Aster-type	HERB
Stivrins_a3	12	418	12	Betula	Betula	TRSH
Stivrins_a3	24	4	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Stivrins_a3	33	10	33	Cyperaceae	Cyperaceae	HERB
Stivrins_a3	190	7	190	Fraxinus	Fraxinus	TRSH
Stivrins_a3	60	2	60	Plantago lanceolata	Plantago lanceolata-type	HERB
Stivrins_a3	75	215	75	Pinus	Pinus	TRSH
Stivrins_a3	80	91	80	Poaceae	Poaceae	HERB
Stivrins_a3	99	10	99	Salix	Salix	TRSH
Stivrins_a3	126	38	126	Picea	Picea	TRSH
Stivrins_a3	144	1	144	Sphagnum	Sphagnum	BRYO
Stivrins_a3	146	9	146	Polypodiaceae	Monolete fern spores	VACR
Stivrins_a3	154	4	154	Ulmus	Ulmus/Zelkova	TRSH
Stivrins_a3	187	1	187	Tilia	Tilia	TRSH
Stivrins_a3	189	20	189	Quercus	Quercus	TRSH
Stivrins_a3	201	12	31	Corylus	Corylus	TRSH
Stivrins_a3	256	12	256	Secale cereale	Secale cereale	HERB
Stivrins_a3	652	6	652	Urtica	Urtica	HERB
Stivrins_a3	764	3	764	Cannabis	Cannabis sativa	HERB
Stivrins_a3	954	1	87	Ranunculus acris	Ranunculus acris-type	HERB
Stivrins_a3	975	3	458	Plantago major/media	Plantago major/P. media-type	HERB
Stivrins_a3	1375	3	1199	Triticum	Triticum-type	HERB
Stivrins_a3	1572	4	258	Hordeum	Hordeum-type	HERB
Stivrins_a3	1573	1	828	Humulus	Humulus lupulus	HERB
Stivrins_a3	1576	1	1576	Peplis	Lythrum portula-type	HERB
Stivrins_a3	1578	1	1505	Polygonum sec.	Polygonum-type (tricolporate)	HERB
Stivrins_a3	1583	8	95	Rumex ac/ac-type	Rumex acetosa-type	HERB
Stivrins_a3	1584	1	1242	Taraxacum type	Crepis-type	HERB
