samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Stivrins_b2	5	13	5	Alnus	Alnus	TRSH
Stivrins_b2	7	2	7	Artemisia	Artemisia	HERB
Stivrins_b2	12	80	12	Betula	Betula	TRSH
Stivrins_b2	33	17	33	Cyperaceae	Cyperaceae	HERB
Stivrins_b2	201	7	31	Corylus	Corylus	TRSH
Stivrins_b2	581	2	457	Calluna	Calluna vulgaris	TRSH
Stivrins_b2	772	1	772	Dryopteris	Dryopteris-type	VACR
Stivrins_b2	1596	1	1165	Picea stomata	Picea: stomata	VEMI
Stivrins_b2	1597	2	1597	Pinus stomata	Pinus: stomata	VEMI
Stivrins_b2	58	7	58	Juniperus	Juniperus communis-type	TRSH
Stivrins_b2	60	1	60	Plantago lanceolata	Plantago lanceolata-type	HERB
Stivrins_b2	75	213	75	Pinus	Pinus	TRSH
Stivrins_b2	80	25	80	Poaceae	Poaceae	HERB
Stivrins_b2	81	2	81	Populus	Populus	TRSH
Stivrins_b2	99	3	99	Salix	Salix	TRSH
Stivrins_b2	126	103	126	Picea	Picea	TRSH
Stivrins_b2	130	2	130	Ericaceae	Ericales (tetrad)	DWAR
Stivrins_b2	144	13	144	Sphagnum	Sphagnum	BRYO
Stivrins_b2	145	1	145	Equisetum	Equisetum	VACR
Stivrins_b2	154	4	154	Ulmus	Ulmus/Zelkova	TRSH
Stivrins_b2	189	1	189	Quercus	Quercus	TRSH
Stivrins_b2	190	6	190	Fraxinus	Fraxinus	TRSH
Stivrins_b2	256	6	256	Secale cereale	Secale cereale	HERB
Stivrins_b2	652	28	652	Urtica	Urtica	HERB
Stivrins_b2	657	3	108	Potamogeton	Potamogeton-type	AQUA
Stivrins_b2	658	2	176	Sparganium	Sparganium-type	AQUA
Stivrins_b2	821	2	462	Centaurea cyanus	Centaurea cyanus-type	HERB
Stivrins_b2	965	1	183	Lycopodium annotinum	Lycopodium annotinum-type	VACR
Stivrins_b2	1573	2	828	Humulus	Humulus lupulus	HERB
Stivrins_b2	1600	4	734	Typha sp.	Typha/Sparganium	AQUA
Stivrins_b2	1475	1	93	Galium	Rubiaceae	HERB
