samplename	original_varname	acc_varname	groupid	count	percentage
Svobodova_b9	Alnus	Alnus	TRSH	53	19.49
Svobodova_b9	Betula	Betula	TRSH	77	28.31
Svobodova_b9	Corylus	Corylus	TRSH	2	0.74
Svobodova_b9	Fagus	Fagus	TRSH	2	0.74
Svobodova_b9	Fraxinus	Fraxinus	TRSH	2	0.74
Svobodova_b9	Juglans	Juglans	TRSH	1	0.37
Svobodova_b9	Loranthus	Loranthus europaeus	TRSH	1	0.37
Svobodova_b9	Picea	Picea	TRSH	72	26.47
Svobodova_b9	Pinus	Pinus	TRSH	41	15.07
Svobodova_b9	Quercus	Quercus	TRSH	4	1.47
Svobodova_b9	Salix	Salix	TRSH	2	0.74
Svobodova_b9	Tilia	Tilia	TRSH	1	0.37
Svobodova_b9	Artemisia	Artemisia	HERB	1	0.37
Svobodova_b9	Cereales	Cerealia-type	HERB	2	0.74
Svobodova_b9	Plantago lanceolata	Plantago lanceolata-type	HERB	1	0.37
Svobodova_b9	Plantago major	Plantago major	HERB	1	0.37
Svobodova_b9	Poaceae	Poaceae	HERB	5	1.84
Svobodova_b9	Rubiaceae	Rubiaceae	HERB	1	0.37
Svobodova_b9	Secale cereale	Secale cereale	HERB	1	0.37
Svobodova_b9	Urtica	Urtica	HERB	2	0.74
