samplename	original_varname	acc_varname	groupid	count	percentage
Swieta_b3	Abies alba	Abies	TRSH	1	0.067658999
Swieta_b3	Alnus	Alnus	TRSH	66	4.4654939
Swieta_b3	Betula alba-type	Betula pubescens-type	TRSH	135	9.1339648
Swieta_b3	Calluna vulgaris	Calluna vulgaris	DWAR	12	0.81190798
Swieta_b3	Carpinus betulus	Carpinus betulus	TRSH	10	0.67658999
Swieta_b3	Corylus avellana	Corylus	TRSH	16	1.082544
Swieta_b3	Fagus sylvatica	Fagus	TRSH	13	0.87956698
Swieta_b3	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	6	0.40595399
Swieta_b3	Juniperus communis	Juniperus communis-type	TRSH	6	0.40595399
Swieta_b3	Picea abies	Picea abies-type	TRSH	8	0.54127199
Swieta_b3	Pinus sylvestris	Pinus sylvestris-type	TRSH	729	49.32341
Swieta_b3	Quercus	Quercus	TRSH	45	3.0446549
Swieta_b3	Salix	Salix	TRSH	3	0.202977
Swieta_b3	Sambucus	Sambucus	TRSH	2	0.135318
Swieta_b3	Solanum nigrum-type	Solanum nigrum-type	TRSH	1	0.067658999
Swieta_b3	Tilia	Tilia	TRSH	2	0.135318
Swieta_b3	Ulmus	Ulmus/Zelkova	TRSH	1	0.067658999
Swieta_b3	Artemisia	Artemisia	HERB	15	1.014885
Swieta_b3	Asteraceae	Asteraceae	HERB	6	0.40595399
Swieta_b3	Brassicaceae	Brassicaceae	HERB	2	0.135318
Swieta_b3	Caryophyllaceae undiff.	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	3	0.202977
Swieta_b3	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	7	0.47361299
Swieta_b3	Cichorium-type	Crepis-type	HERB	2	0.135318
Swieta_b3	Fagopyrum	Fagopyrum	HERB	2	0.135318
Swieta_b3	Fallopia convolvulus-type	Fallopia	HERB	2	0.135318
Swieta_b3	Hordeum-type	Hordeum-type	HERB	3	0.202977
Swieta_b3	Cannabaceae	Humulus/Cannabis	HERB	1	0.067658999
Swieta_b3	Jasione montana	Jasione montana-type	HERB	2	0.135318
Swieta_b3	Anthemis-type	Matricaria-type	HERB	1	0.067658999
Swieta_b3	Melampyrum	Melampyrum	HERB	1	0.067658999
Swieta_b3	Ononis-type	Ononis	HERB	2	0.135318
Swieta_b3	Plantago lanceolata	Plantago lanceolata-type	HERB	6	0.40595399
Swieta_b3	Poaceae	Poaceae	HERB	166	11.231394
Swieta_b3	Polygonum aviculare-type	Polygonum aviculare-type	HERB	1	0.067658999
Swieta_b3	Potentilla-type	Potentilla-type	HERB	2	0.135318
Swieta_b3	Rumex acetosa-type	Rumex acetosa-type	HERB	2	0.135318
Swieta_b3	Rumex acetosella-type	Rumex acetosella	HERB	82	5.5480379
Swieta_b3	Scleranthus annuus	Scleranthus annuus	HERB	1	0.067658999
Swieta_b3	Scleranthus perennis	Scleranthus perennis	HERB	1	0.067658999
Swieta_b3	Secale cereale	Secale cereale	HERB	80	5.4127199
Swieta_b3	Solanum dulcamara	Solanum dulcamara	HERB	1	0.067658999
Swieta_b3	Triticum-type	Triticum-type	HERB	10	0.67658999
Swieta_b3	Urtica	Urtica	HERB	7	0.47361299
Swieta_b3	Equisetum	Equisetum	VACR	1	0.067658999
Swieta_b3	Monolete fern spores	Monolete fern spores	VACR	2	0.135318
Swieta_b3	Pteridium aquilinum	Pteridium aquilinum	VACR	2	0.135318
Swieta_b3	Sphagnum	Sphagnum	BRYO	9	0.60893099
Swieta_b3	Pediastrum boryanum var. longicorne	Algae	ALGA	10	0.67658999
Swieta_b3	Botryococcus	Botryococcus	ALGA	169	11.434371
Swieta_b3	Cyperaceae	Cyperaceae	AQUA	10	0.67658999
Swieta_b3	Isoetes	Isoetes	AQPT	214	14.479026
Swieta_b3	Pediastrum	Pediastrum	ALGA	19	1.285521
Swieta_b3	Pediastrum angulosum var. angulosum	Pediastrum angulosum var. angulosum	ALGA	9	0.60893099
Swieta_b3	Pediastrum boryanum var. boryanum	Pediastrum boryanum var. boryanum	ALGA	13	0.87956698
Swieta_b3	Pediastrum boryanum var. cornutum	Pediastrum boryanum var. cornutum	ALGA	1	0.067658999
Swieta_b3	Pediastrum boryanum var. perforatum	Pediastrum boryanum var. perforatum	ALGA	1	0.067658999
Swieta_b3	Pediastrum integrum	Pediastrum integrum	ALGA	3	0.202977
Swieta_b3	Charcoal	Charcoal	MACR	347	
Swieta_b3	Fungi	Fungi	FUNG	2	
Swieta_b3	Lycopodium (counted)	Lycopodium (counted)	NOPO	3053	
Swieta_b3	Scenedesmus	Scenedesmus	CHLO	11	
