samplename	original_varname	acc_varname	groupid	count	percentage
Swieta_f2	Abies alba	Abies	TRSH	1	0.076219512
Swieta_f2	Alnus	Alnus	TRSH	83	6.3262195
Swieta_f2	Betula alba-type	Betula pubescens-type	TRSH	211	16.082317
Swieta_f2	Calluna vulgaris	Calluna vulgaris	TRSH	16	1.2195122
Swieta_f2	Carpinus betulus	Carpinus betulus	TRSH	30	2.2865854
Swieta_f2	Corylus avellana	Corylus	TRSH	39	2.972561
Swieta_f2	Fagus sylvatica	Fagus	TRSH	31	2.3628049
Swieta_f2	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	3	0.22865854
Swieta_f2	Juniperus communis	Juniperus communis-type	TRSH	2	0.15243902
Swieta_f2	Larix	Larix/Pseudotsuga	TRSH	2	0.15243902
Swieta_f2	Ledum palustre	Ledum palustre	DWAR	1	0.076219512
Swieta_f2	Picea abies	Picea abies-type	TRSH	15	1.1432927
Swieta_f2	Pinus sylvestris	Pinus sylvestris-type	TRSH	456	34.756098
Swieta_f2	Quercus	Quercus	TRSH	95	7.2408537
Swieta_f2	Salix	Salix	TRSH	1	0.076219512
Swieta_f2	Sambucus	Sambucus	TRSH	1	0.076219512
Swieta_f2	Sorbus-type	Sorbus-type	TRSH	1	0.076219512
Swieta_f2	Tilia	Tilia	TRSH	2	0.15243902
Swieta_f2	Ulmus	Ulmus/Zelkova	TRSH	2	0.15243902
Swieta_f2	Apiaceae	Apiaceae	HERB	1	0.076219512
Swieta_f2	Artemisia	Artemisia	HERB	13	0.99085366
Swieta_f2	Asteraceae	Asteraceae	HERB	3	0.22865854
Swieta_f2	Avena-type	Avena-type	HERB	1	0.076219512
Swieta_f2	Beta-type	Beta	HERB	3	0.22865854
Swieta_f2	Brassicaceae	Brassicaceae	HERB	8	0.6097561
Swieta_f2	Cannabaceae	Cannabaceae	HERB	5	0.38109756
Swieta_f2	Centaurea cyanus	Centaurea cyanus-type	HERB	2	0.15243902
Swieta_f2	Cerealia-type	Cerealia-type	HERB	12	0.91463415
Swieta_f2	Chelidonium majus	Chelidonium majus	HERB	1	0.076219512
Swieta_f2	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.076219512
Swieta_f2	Cichorium-type	Crepis-type	HERB	1	0.076219512
Swieta_f2	Cyperaceae	Cyperaceae	HERB	4	0.30487805
Swieta_f2	Fallopia convolvulus-type	Fallopia	HERB	1	0.076219512
Swieta_f2	Hordeum-type	Hordeum-type	HERB	7	0.53353659
Swieta_f2	Anthemis-type	Matricaria-type	HERB	2	0.15243902
Swieta_f2	Melampyrum	Melampyrum	HERB	1	0.076219512
Swieta_f2	Oenanthe-type	Oenanthe	HERB	1	0.076219512
Swieta_f2	Plantago lanceolata	Plantago lanceolata-type	HERB	2	0.15243902
Swieta_f2	Poaceae	Poaceae	HERB	92	7.0121951
Swieta_f2	Polygonum aviculare-type	Polygonum aviculare-type	HERB	2	0.15243902
Swieta_f2	Rumex acetosa-type	Rumex acetosa-type	HERB	6	0.45731707
Swieta_f2	Rumex acetosella-type	Rumex acetosella	HERB	44	3.3536585
Swieta_f2	Secale cereale	Secale cereale	HERB	87	6.6310976
Swieta_f2	Solanum nigrum-type	Solanum nigrum-type	HERB	2	0.15243902
Swieta_f2	Triticum-type	Triticum-type	HERB	1	0.076219512
Swieta_f2	Urtica	Urtica	HERB	10	0.76219512
Swieta_f2	Equisetum	Equisetum	VACR	1	0.076219512
Swieta_f2	Lycopodium annotinum	Lycopodium annotinum-type	VACR	1	0.076219512
Swieta_f2	Monolete fern spores	Monolete fern spores	VACR	4	0.30487805
Swieta_f2	Pteridium aquilinum	Pteridium aquilinum	VACR	1	0.076219512
Swieta_f2	Botryococcus	Botryococcus	ALGA	157	11.966463
Swieta_f2	Isoetes lacustris	Isoetes lacustris	AQPT	12	0.91463415
Swieta_f2	Pediastrum	Pediastrum	ALGA	41	3.125
Swieta_f2	Pediastrum angulosum var. angulosum	Pediastrum angulosum var. angulosum	ALGA	2	0.15243902
Swieta_f2	Pediastrum boryanum var. boryanum	Pediastrum boryanum var. boryanum	ALGA	3	0.22865854
Swieta_f2	Pediastrum boryanum var. cornutum	Pediastrum boryanum var. cornutum	ALGA	2	0.15243902
Swieta_f2	Pediastrum boryanum var. perforatum	Pediastrum boryanum var. perforatum	ALGA	3	0.22865854
Swieta_f2	Pediastrum integrum	Pediastrum integrum	ALGA	3	0.22865854
Swieta_f2	Scenedesmus	Scenedesmus	ALGA	19	1.4481707
Swieta_f2	Spirogyra	Spirogyra	ALGA	4	0.30487805
Swieta_f2	Tetraedron	Tetraedron	ALGA	1	0.076219512
Swieta_f2	Charcoal	Charcoal	CHAR	148	
Swieta_f2	Varia	Indeterminable: unknown	INUN	6	
Swieta_f2	Filinia	Filinia	ROTI	7	
Swieta_f2	Fungi	Fungi	FUNG	11	
Swieta_f2	Lycopodium (counted)	Lycopodium (counted)	NOPO	561	
Swieta_f2	Pediastrum boryanum var. longicorne	Pediastrum boryanum var. longicorne	CHLO	9	
Swieta_f2	Sphagnum	Sphagnum	NOPO	6	
Swieta_f2	Turbellaria	Turbellaria	NOPO	9	
