	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Swieta_h2	2	2	2	Acer	Acer campestre-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1260	0.15873016
1	Swieta_h2	4	211	4	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1260	16.746032
2	Swieta_h2	1250	226	150	Betula alba-type	Betula pubescens-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1260	17.936508
3	Swieta_h2	470	4	470	Calluna vulgaris	Calluna vulgaris	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1260	0.31746032
4	Swieta_h2	574	8	7	Carpinus betulus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1260	0.63492063
5	Swieta_h2	59	27	9	Corylus avellana	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1260	2.1428571
6	Swieta_h2	70	21	12	Fagus sylvatica	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1260	1.6666667
7	Swieta_h2	578	2	481	Frangula alnus	Frangula alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1260	0.15873016
8	Swieta_h2	75	1	75	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1260	0.079365079
9	Swieta_h2	952	4	85	Juniperus communis	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1260	0.31746032
10	Swieta_h2	794	5	794	Picea abies	Picea abies-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1260	0.3968254
11	Swieta_h2	799	329	148	Pinus sylvestris	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1260	26.111111
12	Swieta_h2	208	54	208	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1260	4.2857143
13	Swieta_h2	25	11	25	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1260	0.87301587
14	Swieta_h2	1242	2	132	Sorbus-type	Sorbus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1260	0.15873016
15	Swieta_h2	29	6	29	Tilia	Tilia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1260	0.47619048
16	Swieta_h2	31	4	31	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1260	0.31746032
17	Swieta_h2	36	2	36	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	1260	0.15873016
18	Swieta_h2	37	23	37	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	1260	1.8253968
19	Swieta_h2	1225	4	1121	Avena-type	Avena-type	HERB	Herbs	HERB	True	True	Herbs	5	1260	0.31746032
20	Swieta_h2	1249	2	1249	Beta-type	Beta	HERB	Herbs	HERB	True	True	Herbs	5	1260	0.15873016
