samplename	original_varname	acc_varname	groupid	count	percentage
Swieta_i2	Acer	Acer campestre-type	TRSH	4	0.021600605
Swieta_i2	Alnus	Alnus	TRSH	45	0.2430068
Swieta_i2	Betula	Betula	TRSH	625	3.3750945
Swieta_i2	Calluna	Calluna	DWAR	5	0.027000756
Swieta_i2	Carpinus	Carpinus betulus	TRSH	10	0.054001512
Swieta_i2	Corylus	Corylus	TRSH	6	0.032400907
Swieta_i2	Fagus	Fagus	TRSH	40	0.21600605
Swieta_i2	Fraxinus	Fraxinus	TRSH	2	0.010800302
Swieta_i2	Picea	Picea	TRSH	27	0.14580408
Swieta_i2	Pinus	Pinus	TRSH	282	1.5228426
Swieta_i2	Quercus	Quercus	TRSH	43	0.2322065
Swieta_i2	Salix	Salix	TRSH	15	0.081002268
Swieta_i2	Sambucus	Sambucus	TRSH	1	0.0054001512
Swieta_i2	Sorbus	Sorbus-type	TRSH	6	0.032400907
Swieta_i2	Tilia	Tilia	TRSH	2	0.010800302
Swieta_i2	Ulmus	Ulmus/Zelkova	TRSH	2	0.010800302
Swieta_i2	Ambrosia	Ambrosia	HERB	1	0.0054001512
Swieta_i2	Apiaceae	Apiaceae	HERB	1	0.0054001512
Swieta_i2	Artemisia	Artemisia	HERB	33	0.17820499
Swieta_i2	Avena	Avena-type	HERB	2	0.010800302
Swieta_i2	Triticum	Avena/Triticum-type	HERB	40	0.21600605
Swieta_i2	Brassicaceae	Brassicaceae	HERB	5	0.027000756
Swieta_i2	Centaurea cyanus	Centaurea cyanus-type	HERB	1	0.0054001512
Swieta_i2	Secale	Cerealia-type	HERB	10	0.054001512
Swieta_i2	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	8	0.04320121
Swieta_i2	Cyperaceae	Cyperaceae	HERB	14	0.075602117
Swieta_i2	Hordeum	Hordeum-type	HERB	19	0.10260287
Swieta_i2	Hypericum	Hypericum	HERB	1	0.0054001512
Swieta_i2	Lychnis	Lychnis	HERB	1	0.0054001512
Swieta_i2	Anthemis-type	Matricaria-type	HERB	4	0.021600605
Swieta_i2	Plantago lanceolata	Plantago lanceolata-type	HERB	7	0.037801058
Swieta_i2	Plantago major	Plantago major	HERB	1	0.0054001512
Swieta_i2	Poaceae	Poaceae	HERB	109	0.58861648
Swieta_i2	Potentilla	Potentilla-type	HERB	31	0.16740469
Swieta_i2	Ranunculus acris	Ranunculus acris-type	HERB	9	0.048601361
Swieta_i2	Rumex acetosa	Rumex acetosa-type	HERB	10	0.054001512
Swieta_i2	Rumex acetosella	Rumex acetosella	HERB	26	0.14040393
Swieta_i2	Urtica	Urtica	HERB	14	0.075602117
Swieta_i2	Bryophyta	Bryophyta	VACR	17054	92.094179
Swieta_i2	Monolete fern spores	Monolete fern spores	VACR	2	0.010800302
Swieta_i2	Charcoal	Charcoal	CHAR	13	
Swieta_i2	Arcella	Arcella	RHIZ	8	
Swieta_i2	Assulina	Assulina	RHIZ	41	
Swieta_i2	Fungi	Fungi	FUNG	7	
Swieta_i2	Sphagnum	Sphagnum	NOPO	263	
Swieta_i2	Tilletia	Tilletia	FUNG	17	
