samplename	original_varname	acc_varname	groupid	count	percentage
Tarasov_a13	Acer	Acer campestre-type	TRSH		7.78
Tarasov_a13	Alnus	Alnus	TRSH		1.17
Tarasov_a13	Camellia	Camellia	TRSH		3.11
Tarasov_a13	Castanopsis	Castanopsis	TRSH		12.84
Tarasov_a13	Cryptomeria	Cryptomeria-type	TRSH		22.57
Tarasov_a13	Ilex	Ilex	TRSH		3.11
Tarasov_a13	Pinus	Pinus	TRSH		24.12
Tarasov_a13	Quercus evergreen	Quercus ilex-type	TRSH		19.46
Tarasov_a13	Quercus deciduous	Quercus robur-type	TRSH		3.89
Tarasov_a13	Rhus	Rhus	TRSH		1.95
