samplename	original_varname	acc_varname	groupid	count	percentage
Theuerkauf_a5	Acer	Acer campestre-type	TRSH	2	0.27247956
Theuerkauf_a5	Alnus	Alnus	TRSH	105	14.305177
Theuerkauf_a5	Betula pubescens-type	Betula pubescens-type	TRSH	171	23.297003
Theuerkauf_a5	Calluna	Calluna	DWAR	1	0.13623978
Theuerkauf_a5	Carpinus	Carpinus betulus	TRSH	2	0.27247956
Theuerkauf_a5	Corylus	Corylus	TRSH	8	1.0899183
Theuerkauf_a5	Fagus	Fagus	TRSH	50	6.8119891
Theuerkauf_a5	Fraxinus	Fraxinus	TRSH	5	0.68119891
Theuerkauf_a5	Picea	Picea	TRSH	3	0.40871935
Theuerkauf_a5	Pinus diploxylon	Pinus sylvestris-type	TRSH	184	25.06812
Theuerkauf_a5	Quercus	Quercus	TRSH	49	6.6757493
Theuerkauf_a5	Salix	Salix	TRSH	4	0.54495913
Theuerkauf_a5	Ulmus	Ulmus/Zelkova	TRSH	4	0.54495913
Theuerkauf_a5	Umbelliferae	Apiaceae	HERB	1	0.13623978
Theuerkauf_a5	Artemisia	Artemisia	HERB	9	1.226158
Theuerkauf_a5	Avena/Triticum-group	Avena/Triticum-group	HERB	1	0.13623978
Theuerkauf_a5	Centaurea cyanus-type	Centaurea cyanus-type	HERB	1	0.13623978
Theuerkauf_a5	Secale	Cerealia-type	HERB	8	1.0899183
Theuerkauf_a5	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.13623978
Theuerkauf_a5	Cyperaceae	Cyperaceae	HERB	7	0.95367847
Theuerkauf_a5	Hordeum	Hordeum-type	HERB	3	0.40871935
Theuerkauf_a5	Plantago lanceolata	Plantago lanceolata-type	HERB	9	1.226158
Theuerkauf_a5	Gramineae	Poaceae	HERB	67	9.1280654
Theuerkauf_a5	Rumex acetosa-type	Rumex acetosa-type	HERB	7	0.95367847
Theuerkauf_a5	Rumex acetosa/R. acetosella	Rumex acetosa/R. acetosella	HERB	14	1.9073569
Theuerkauf_a5	Rumex acetosella	Rumex acetosella	HERB	7	0.95367847
Theuerkauf_a5	Sinapis-type	Sinapis-type	HERB	4	0.54495913
Theuerkauf_a5	Urtica dioica	Urtica dioica	HERB	7	0.95367847
Theuerkauf_a5	Sparganium emersum-type	Sparganium emersum-type	HELO	2	0.27247956
Theuerkauf_a5	Sparganium erectum-type	Sparganium erectum-type	AQUA	5	0.68119891
Theuerkauf_a5	Indeterminable: unknown	Indeterminable: unknown	INUN	8	
Theuerkauf_a5	Sphagnum	Sphagnum	NOPO	1	
