samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Tinner_a16	12	1	12	Betula	Betula	TRSH
Tinner_a16	436	24	203	Juniperus t.	Juniperus-type	TRSH
Tinner_a16	1148	420	194	Juglans regia	Juglans regia	TRSH
Tinner_a16	154	2	154	Ulmus	Ulmus/Zelkova	TRSH
Tinner_a16	2817	2	82	Prunus t.	Prunus-type	TRSH
Tinner_a16	99	2	99	Salix	Salix	TRSH
Tinner_a16	7	38	7	Artemisia	Artemisia	HERB
Tinner_a16	761	2	160	Asteroideae	Asteraceae subf. Asteroideae	HERB
Tinner_a16	2289	1	1381	Carduus t.	Carduus-type	HERB
Tinner_a16	22	7	22	Cerealia	Cerealia-type	HERB
Tinner_a16	24	49	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Tinner_a16	447	2	25	Cichorioideae	Asteraceae subf. Cichorioideae	HERB
Tinner_a16	463	1	37	Ephedra distachya t.	Ephedra distachya-type	TRSH
Tinner_a16	464	1	36	Ephedra fragilis t.	Ephedra fragilis-type	TRSH
Tinner_a16	2837	1	603	Cirsium t.	Cirsium	HERB
Tinner_a16	2839	1	2073	Cousinia t.	Cousinia	HERB
Tinner_a16	2847	1	498	Geranium t.	Geranium	HERB
Tinner_a16	2857	3	65	Mentha t.	Mentha-type	HERB
Tinner_a16	2858	1	72	Paronychia t.	Paronychia	HERB
Tinner_a16	80	46	80	Poaceae	Poaceae	HERB
Tinner_a16	459	1	262	Polygonum aviculare t.	Polygonum aviculare-type	HERB
Tinner_a16	512	5	512	Potentilla t.	Potentilla-type	HERB
Tinner_a16	2866	1	135	Ranunculaceae indet.	Ranunculaceae	HERB
Tinner_a16	2867	5	87	Ranunculus acris t.	Ranunculus acris-type	HERB
Tinner_a16	2878	2	133	Senecio t.	Senecio-type	HERB
Tinner_a16	453	1	453	Urtica dioica t.	Urtica dioica-type	HERB
Tinner_a16	2883	1	115	Trifolium t.	Trifolium-type	HERB
Tinner_a16	1098	3	177	Varia	Indeterminable: unknown	INUN
Tinner_a16	33	8	33	Cyperaceae	Cyperaceae	HERB
Tinner_a16	2890	5	176	Sparganium t.	Sparganium-type	AQUA
Tinner_a16	2814	1	2814	Fraxinus sogdiana	Fraxinus sogdiana	TRSH
Tinner_a16	2831	2	13	Brassicaceae Hornungia & Sinapis t.	Brassicaceae	HERB
Tinner_a16	2834	3	205	Cannabis t.	Humulus/Cannabis	HERB
Tinner_a16	2835	1	1063	Centaurea montana t.	Centaurea montana-type	HERB
Tinner_a16	2836	1	29	Centaurea nigra t.	Centaurea nigra-type	HERB
Tinner_a16	2860	1	270	Plantago indet.	Plantago	HERB
