samplename	original_varname	acc_varname	groupid	count	percentage
Tinner_a34	Arceuthobium	Arceuthobium oxycedri	TRSH	2	0.24
Tinner_a34	Betula	Betula	TRSH	8	0.94
Tinner_a34	Ephedra distachya t.	Ephedra distachya-type	TRSH	1	0.12
Tinner_a34	Juglans regia	Juglans regia	TRSH	170	19.98
Tinner_a34	Juniperus t.	Juniperus-type	TRSH	157	18.45
Tinner_a34	Picea schrenkiana	Picea schrenkiana	TRSH	31	3.64
Tinner_a34	Prunus t.	Prunus-type	TRSH	2	0.24
Tinner_a34	Rosa t.	Rosa	TRSH	1	0.12
Tinner_a34	Rosaceae indet.	Rosaceae	TRSH	4	0.47
Tinner_a34	Sorbus/Rubus t.	Rosaceae (non-operculate)	TRSH	2	0.24
Tinner_a34	Salix	Salix	TRSH	2	0.24
Tinner_a34	Apiaceae indet.	Apiaceae	HERB	6	0.71
Tinner_a34	Artemisia	Artemisia	HERB	173	20.33
Tinner_a34	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	1	0.12
Tinner_a34	Brassicaceae Hornungia & Sinapis t.	Brassicaceae	HERB	3	0.35
Tinner_a34	Carduus t.	Carduus-type	HERB	2	0.24
Tinner_a34	Cerealia	Cerealia-type	HERB	9	1.06
Tinner_a34	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	92	10.81
Tinner_a34	Cousinia t.	Cousinia	HERB	1	0.12
Tinner_a34	Cyperaceae	Cyperaceae	HERB	13	1.53
Tinner_a34	Daucus t.	Daucus	HERB	1	0.12
Tinner_a34	Eremurus	Eremurus	HERB	9	1.06
Tinner_a34	Euphorbia	Euphorbia	HERB	1	0.12
Tinner_a34	Fabaceae indet.	Fabaceae undiff.	HERB	1	0.12
Tinner_a34	Galeopsis t.	Galeopsis-type	HERB	2	0.24
Tinner_a34	Impatiens t.	Impatiens	HERB	2	0.24
Tinner_a34	Lamiaceae indet.	Lamiaceae	HERB	1	0.12
Tinner_a34	Lathyrus t.	Lathyrus-type	HERB	1	0.12
Tinner_a34	Matricaria t.	Matricaria-type	HERB	1	0.12
Tinner_a34	Mentha t.	Mentha-type	HERB	10	1.18
Tinner_a34	Paronychia t.	Paronychia	HERB	2	0.24
Tinner_a34	Plantago indet.	Plantago	HERB	2	0.24
Tinner_a34	Plantago lanceolata t.	Plantago lanceolata-type	HERB	10	1.18
Tinner_a34	Poaceae	Poaceae	HERB	92	10.81
Tinner_a34	Bistorta t.	Polygonum bistorta-type	HERB	1	0.12
Tinner_a34	Potentilla t.	Potentilla-type	HERB	2	0.24
Tinner_a34	Rumex obtusifolius t.	Rumex crispus-type	HERB	8	0.94
Tinner_a34	Salsola kali t.	Salsola kali	HERB	1	0.12
Tinner_a34	Saussurea t.	Saussurea-type	HERB	1	0.12
Tinner_a34	Scrophulariaceae indet.	Scrophulariaceae (colporate-reticulate)	HERB	3	0.35
Tinner_a34	Senecio t.	Senecio-type	HERB	3	0.35
Tinner_a34	Sium t.	Sium-type	HERB	1	0.12
Tinner_a34	Thalictrum type N	Thalictrum	HERB	2	0.24
Tinner_a34	Thalictrum type R	Thalictrum	HERB	1	0.12
Tinner_a34	Urtica dioica t.	Urtica dioica-type	HERB	8	0.94
Tinner_a34	Valeriana officinalis t.	Valeriana officinalis-type	HERB	1	0.12
Tinner_a34	Xanthium t.	Xanthium	HERB	4	0.47
Tinner_a34	Sparganium t.	Sparganium-type	AQUA	9	1.06
Tinner_a34	Varia	Indeterminable: unknown	INUN	5	
