samplename	original_varname	acc_varname	groupid	count	percentage
Tonkov_l1	Abies	Abies	TRSH	27	4.9270073
Tonkov_l1	Alnus	Alnus	TRSH	5	0.91240876
Tonkov_l1	Betula	Betula	TRSH	21	3.8321168
Tonkov_l1	Carpinus betulus	Carpinus betulus	TRSH	11	2.0072993
Tonkov_l1	Corylus	Corylus	TRSH	9	1.6423358
Tonkov_l1	Fagus	Fagus	TRSH	27	4.9270073
Tonkov_l1	Juglans	Juglans	TRSH	2	0.3649635
Tonkov_l1	Juniperus	Juniperus communis-type	TRSH	11	2.0072993
Tonkov_l1	Picea	Picea	TRSH	51	9.3065693
Tonkov_l1	Pinus peuce	Pinus cembra-type	TRSH	57	10.40146
Tonkov_l1	Pinus diploxylon-type	Pinus sylvestris-type	TRSH	192	35.036496
Tonkov_l1	Quercus robur-type	Quercus robur-type	TRSH	6	1.0948905
Tonkov_l1	Salix	Salix	TRSH	6	1.0948905
Tonkov_l1	Agrimonia-type	Agrimonia-type	HERB	3	0.54744526
Tonkov_l1	Apiaceae	Apiaceae	HERB	3	0.54744526
Tonkov_l1	Artemisia	Artemisia	HERB	9	1.6423358
Tonkov_l1	Cichoriaceae	Asteraceae subf. Cichorioideae	HERB	5	0.91240876
Tonkov_l1	Campanulaceae	Campanulaceae	HERB	3	0.54744526
Tonkov_l1	Cerealia-type	Cerealia-type	HERB	2	0.3649635
Tonkov_l1	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	3	0.54744526
Tonkov_l1	Cirsium-type	Cirsium	HERB	5	0.91240876
Tonkov_l1	Cyperaceae	Cyperaceae	HERB	2	0.3649635
Tonkov_l1	Filipendula	Filipendula	HERB	5	0.91240876
Tonkov_l1	Galium-type	Galium-type	HERB	3	0.54744526
Tonkov_l1	Gentiana	Gentiana	HERB	2	0.3649635
Tonkov_l1	Geum-type	Geum-type	HERB	8	1.459854
Tonkov_l1	Humulus/Cannabis-type	Humulus/Cannabis	HERB	3	0.54744526
Tonkov_l1	Mentha-type	Mentha-type	HERB	5	0.91240876
Tonkov_l1	Plantago media/major-type	Plantago media/major-type	HERB	2	0.3649635
Tonkov_l1	Gramineae	Poaceae	HERB	31	5.6569343
Tonkov_l1	Potentilla-type	Potentilla-type	HERB	6	1.0948905
Tonkov_l1	Ranunculus-type	Ranunculus-type	HERB	6	1.0948905
Tonkov_l1	Rumex	Rumex/Oxyria	HERB	9	1.6423358
Tonkov_l1	Trifolium	Trifolium-type	HERB	2	0.3649635
Tonkov_l1	Veratrum-type	Veratrum-type	HERB	2	0.3649635
Tonkov_l1	Xanthium-type	Xanthium	HERB	3	0.54744526
Tonkov_l1	Caltha palustris-type	Caltha palustris-type	AQUA	6	1.0948905
Tonkov_l1	Polypodiaceae	Monolete fern spores	VACR	1	0.18248175
