samplename	original_varname	acc_varname	groupid	count	percentage
Tonkov_r3	Abies	Abies	TRSH	3	0.4784689
Tonkov_r3	Acer	Acer campestre-type	TRSH	1	0.15948963
Tonkov_r3	Alnus	Alnus	TRSH	4	0.63795853
Tonkov_r3	Betula	Betula	TRSH	12	1.9138756
Tonkov_r3	Carpinus betulus	Carpinus betulus	TRSH	13	2.0733652
Tonkov_r3	Corylus	Corylus	TRSH	9	1.4354067
Tonkov_r3	Ericaceae	Ericales (tetrad)	DWAR	1	0.15948963
Tonkov_r3	Fagus	Fagus	TRSH	27	4.3062201
Tonkov_r3	Fraxinus excelsior-type	Fraxinus excelsior-type	TRSH	3	0.4784689
Tonkov_r3	Juglans	Juglans	TRSH	2	0.31897927
Tonkov_r3	Juniperus	Juniperus communis-type	TRSH	4	0.63795853
Tonkov_r3	Carpinus orientalis/Ostrya	Ostrya/Carpinus orientalis	TRSH	3	0.4784689
Tonkov_r3	Picea	Picea	TRSH	40	6.3795853
Tonkov_r3	Pinus peuce	Pinus cembra-type	TRSH	70	11.164274
Tonkov_r3	Pinus diploxylon-type	Pinus sylvestris-type	TRSH	340	54.226475
Tonkov_r3	Quercus cerris-type	Quercus cerris-type	TRSH	3	0.4784689
Tonkov_r3	Quercus robur-type	Quercus robur-type	TRSH	7	1.1164274
Tonkov_r3	Salix	Salix	TRSH	4	0.63795853
Tonkov_r3	Sorbus	Sorbus-type	TRSH	2	0.31897927
Tonkov_r3	Tilia	Tilia	TRSH	3	0.4784689
Tonkov_r3	Viburnum	Viburnum	TRSH	1	0.15948963
Tonkov_r3	Apiaceae	Apiaceae	HERB	3	0.4784689
Tonkov_r3	Artemisia	Artemisia	HERB	4	0.63795853
Tonkov_r3	Campanulaceae	Campanulaceae	HERB	1	0.15948963
Tonkov_r3	Stachys-type	Galeopsis-type	HERB	2	0.31897927
Tonkov_r3	Geum-type	Geum-type	HERB	2	0.31897927
Tonkov_r3	Humulus/Cannabis-type	Humulus/Cannabis	HERB	2	0.31897927
Tonkov_r3	Plantago coronopus	Plantago coronopus-type	HERB	2	0.31897927
Tonkov_r3	Poaceae	Poaceae	HERB	43	6.8580542
Tonkov_r3	Potentilla-type	Potentilla-type	HERB	2	0.31897927
Tonkov_r3	Ranunculaceae	Ranunculaceae	HERB	6	0.9569378
Tonkov_r3	Galium- type	Rubiaceae	HERB	1	0.15948963
Tonkov_r3	Trifolium	Trifolium-type	HERB	3	0.4784689
Tonkov_r3	Triticum-type	Triticum-type	HERB	1	0.15948963
Tonkov_r3	Verbascum-type	Verbascum	HERB	1	0.15948963
Tonkov_r3	Polypodiaceae	Monolete fern spores	VACR	2	0.31897927
Tonkov_r3	Caltha-type	Caltha-type	HELO	7	1.1164274
