var_	acc_var_	original_varname	acc_varname	groupid	notes
1		Abies	Abies	TRSH	NULL
2		Acer	Acer campestre-type	TRSH	NULL
3		Betula	Betula	TRSH	NULL
4		Carpinus betulus	Carpinus betulus	TRSH	NULL
5		Corylus	Corylus	TRSH	NULL
6		Fagus	Fagus	TRSH	NULL
7		Fraxinus ornus	Fraxinus ornus	TRSH	NULL
8		Juglans	Juglans	TRSH	NULL
9		Carpinus orientalis	Ostrya/Carpinus orientalis	TRSH	NULL
10		Picea	Picea	TRSH	NULL
11		Pinus	Pinus	TRSH	NULL
12		Quercus	Quercus	TRSH	NULL
13		Ulmus	Ulmus/Zelkova	TRSH	NULL
14		Anthemideae	Anthemideae	HERB	NULL
15		Apiaceae	Apiaceae	HERB	NULL
16		Artemisia	Artemisia	HERB	NULL
17		Brassicaceae	Brassicaceae	HERB	NULL
18		Cerealia-type	Cerealia-type	HERB	NULL
19		Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	NULL
20		Compositae subfam. Cichorioideae	Compositae subfam. Cichorioideae	HERB	NULL
21		Cyperaceae	Cyperaceae	HERB	NULL
22		Epilobium	Epilobium	HERB	NULL
23		Poaceae	Poaceae	HERB	NULL
24		Ranunculus-type	Ranunculus-type	HERB	NULL
25		Rubiaceae	Rubiaceae	HERB	NULL
26		Rumex	Rumex/Oxyria	HERB	NULL
27		Scleranthus	Scleranthus	HERB	NULL
28		Silene-type	Silene-type	HERB	NULL
29		Xanthium-type	Xanthium	HERB	NULL
30		Mentha-type	Mentha-type	HERB	NULL
31		Plantago lanceolata	Plantago lanceolata-type	HERB	NULL
32		Polygonum aviculare	Polygonum aviculare-type	HERB	NULL
33		Ranunculaceae	Ranunculaceae	HERB	NULL
34		Alnus	Alnus	TRSH	NULL
35		Juniperus	Juniperus communis-type	TRSH	NULL
36		Tilia	Tilia	TRSH	NULL
37		Centaurea jacea-type	Centaurea nigra-type	HERB	NULL
38		Verbascum-type	Verbascum	HERB	NULL
39		Robinia pseudacacia	Robinia pseudacacia	TRSH	NULL
40		Vitis	Vitis	TRSH	NULL
41		Cirsium-type	Cirsium	HERB	NULL
42		Vicia-type	Lathyrus/Vicia-type	HERB	NULL
43		Trifolium-type	Trifolium-type	HERB	NULL
44		Salix	Salix	TRSH	NULL
45		Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	NULL
46		Silene	Silene-type	HERB	NULL
47		Fraxinus excelsior-type	Fraxinus excelsior-type	TRSH	NULL
48		Viburnum	Viburnum	TRSH	NULL
49		Filipendula	Filipendula	HERB	NULL
50		Geum-type	Geum-type	HERB	NULL
51		Pteridophyta undifferentiated	Pteridophyta undifferentiated	VACR	NULL
52		Cirsium/Carduus-type	Asteraceae subf. Carduoideae	HERB	NULL
53		Rosaceae	Rosaceae	TRSH	NULL
54		Sambucus	Sambucus	TRSH	NULL
55		Abies cilicica	Abies cilicica	TRSH	NULL
56		Ericaceae	Ericales (tetrad)	DWAR	NULL
57		Juniperus excelsa/J. oxycedrus	Juniperus excelsa/J. oxycedrus	TRSH	NULL
58		Olea europaea	Olea europaea	TRSH	NULL
59		Quercus coccifera	Quercus coccifera	TRSH	NULL
60		Artemisia herba-alba-type	Artemisia herba-alba-type	HERB	NULL
61		Asteroideae	Asteraceae subf. Asteroideae	HERB	NULL
62		Cichorioideae	Asteraceae subf. Cichorioideae	HERB	NULL
63		Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	NULL
64		Cerealia	Cerealia-type	HERB	NULL
65		Eryngium	Eryngium	HERB	NULL
66		Myricaria	Myricaria	HERB	NULL
67		Plantago lanceolata-type/P. major-type	Plantago lanceolata-type/P. major-type	HERB	NULL
68		Polygonum undifferentiated	Polygonum-type (tricolporate)	HERB	NULL
69		Thalictrum	Thalictrum	HERB	NULL
70		Unknown	Indeterminable: unknown	INUN	NULL
71		Cedrus libani	Cedrus libani	TRSH	NULL
72		Juglans regia	Juglans regia	TRSH	NULL
73		Phillyrea	Phillyrea	TRSH	NULL
74		Hypericum	Hypericum	HERB	NULL
75		Lamiaceae	Lamiaceae	HERB	NULL
76		Scabiosa	Scabiosa	HERB	NULL
77		Euphorbia	Euphorbia	HERB	NULL
78		Rumex acetosa-type/R. acetosella-type	Rumex acetosa-type/R. acetosella-type	HERB	NULL
79		Ulex	Ulex	TRSH	NULL
80		Polygonum cognatum	Polygonum cognatum	HERB	NULL
81		Urtica	Urtica	HERB	NULL
82		Fraxinus	Fraxinus	TRSH	NULL
83		Helianthemum	Helianthemum	HERB	NULL
84		Celtis	Celtis	TRSH	NULL
85		Cistus	Cistus	TRSH	NULL
86		Carpinus orientalis-type	Ostrya/Carpinus orientalis	TRSH	NULL
87		Quercus undifferentiated	Quercus undifferentiated	TRSH	NULL
88		Centaurea	Centaurea	HERB	NULL
89		Carya	Carya	TRSH	NULL
90		Ranunculus	Ranunculus-type	HERB	NULL
91		Cercis siliquastrum	Cercis siliquastrum	TRSH	NULL
92		Populus	Populus	TRSH	NULL
93		Fagopyrum	Fagopyrum	HERB	NULL
94		Polygonum bistorta	Polygonum bistorta	HERB	NULL
95		Platanus orientalis	Platanus	TRSH	NULL
96		Sedum	Sedum-type	HERB	NULL
97		Solanum	Solanum	HERB	NULL
98		Typha	Sparganium-type	AQUA	NULL
99		Convolvulus	Convolvulus	HERB	NULL
100		Fontanesia/Phillyrea	Fontanesia/Phillyrea	TRSH	NULL
101		Fraxinus angustifolia	Fraxinus angustifolia	TRSH	NULL
102		Ostrya-type	Ostrya/Carpinus orientalis	TRSH	NULL
103		Paliurus spina-christi	Paliurus spina-christi	TRSH	NULL
104		Pistacia	Pistacia	TRSH	NULL
105		Quercus cerris-type	Quercus cerris-type	TRSH	NULL
106		Quercus coccifera-type	Quercus coccifera-type	TRSH	NULL
107		Rosa-type	Rosa	TRSH	NULL
108		Styrax officinalis	Styrax officinalis	TRSH	NULL
109		Aster-type	Aster-type	HERB	NULL
110		Lactuceae	Asteraceae subf. Cichorioideae	HERB	NULL
